"","YEAR","STATE","DISTRICT","CANDIDATE","PARTY","INCUMBENT","VOTES","PERCENT"
"156",2014,"IL","15","John Shimkus","R",1,165824,0.75
"157",2014,"IL","16","Adam Kinzinger","R",1,151464,0.707
"158",2014,"IL","17","Cheri Bustos","D",1,108229,0.552
"159",2014,"IL","18","Aaron Schock","R",1,182696,0.748
"160",2014,"IN","1","Peter J. Visclosky","D",1,86572,0.608
"161",2014,"IN","2","Jackie Walorski","R",1,85119,0.589
"162",2014,"IN","3","Marlin Stutzman","R",1,102565,0.692
"163",2014,"IN","4","Todd Rokita","R",1,94919,0.669
"164",2014,"IN","5","Susan W. Brooks","R",1,105238,0.652
"165",2014,"IN","6","Luke Messer","R",1,101006,0.659
"166",2014,"IN","7","André Carson","D",1,60870,0.547
"167",2014,"IN","8","Larry Bucshon","R",1,103234,0.603
"168",2014,"IN","9","Todd Young","R",1,99810,0.631
"169",2014,"IA","S","Joni Ernst","R",0,586921,0.522
"170",2014,"IA","1","Rod Blum","R",0,147153,0.512
"171",2014,"IA","2","Dave Loebsack","D",1,142566,0.525
"172",2014,"IA","3","David Young","R",0,148652,0.529
"173",2014,"IA","4","Steve King","R",1,169141,0.617
"174",2014,"KS","S","Pat Roberts","R",1,449974,0.533
"175",2014,"KS","1","Tim Huelskamp","R",1,132140,0.675
"176",2014,"KS","2","Lynn Jenkins","R",1,126627,0.572
"177",2014,"KS","3","Kevin Yoder","R",1,132501,0.602
"178",2014,"KS","4","Mike Pompeo","R",1,135993,0.668
"179",2014,"KY","S","Mitch McConnell","R",1,806795,0.562
"180",2014,"KY","1","Edward Whitfield","R",1,173020,0.731
"181",2014,"KY","2","Brett Guthrie","R",1,156936,0.692
"182",2014,"KY","3","John Yarmuth","D",1,157056,0.635
"183",2014,"KY","4","Thomas Massie","R",1,150464,0.677
"184",2014,"KY","5","Harold Rogers","R",1,171080,0.782
"185",2014,"KY","6","Andy Barr","R",1,147404,0.6
"186",2014,"LA","S","Mary Landrieu","D",1,618840,0.421
"187",2014,"LA","1","Steve Scalise","R",1,188455,0.775
"188",2014,"LA","2","Cedric Richmond","D",1,152103,0.687
"189",2014,"LA","3","Charles Boustany","R",1,185835,0.787
"190",2014,"LA","4","John Fleming","R",1,152670,0.734
"191",2014,"LA","5","Jamie Mayo","D",0,67610,0.282
"192",2014,"LA","6","Edwin Edwards","D",0,77852,0.301
"193",2014,"ME","S","Susan Collins","R",1,412211,0.685
"194",2014,"ME","1","Chellie Pingree","D",1,186309,0.603
"195",2014,"ME","2","Bruce Poliquin","R",0,133112,0.471
"196",2014,"MD","1","Andy Harris","R",1,170504,0.707
"197",2014,"MD","2","C.A. Dutch Ruppersberger","D",1,115586,0.613
"198",2014,"MD","3","John Sarbanes","D",1,122066,0.594
"199",2014,"MD","4","Donna Edwards","D",1,126633,0.7
"200",2014,"MD","5","Steny H. Hoyer","D",1,138284,0.641
"201",2014,"MD","6","John Delaney","D",1,91569,0.496
"202",2014,"MD","7","Elijah E. Cummings","D",1,136913,0.697
"203",2014,"MD","8","Chris Van Hollen","D",1,127260,0.603
"204",2014,"MA","S","Ed Markey","D",1,1285736,0.62
"205",2014,"MA","1","Richard E. Neal","D",1,NA,NA
"206",2014,"MA","2","Jim McGovern","D",1,NA,NA
"207",2014,"MA","3","Niki Tsongas","D",1,138120,0.63
"208",2014,"MA","4","Joseph P. Kennedy III","D",1,NA,NA
"209",2014,"MA","5","Katherine M. Clark","D",1,NA,NA
"210",2014,"MA","6","Seth Moulton","D",0,149449,0.546
"211",2014,"MA","7","Michael E. Capuano","D",1,NA,NA
"212",2014,"MA","8","Stephen F. Lynch","D",1,NA,NA
"213",2014,"MA","9","William Keating","D",1,140100,0.55
"214",2014,"MI","S","Gary Peters","D",0,1693781,0.546
"215",2014,"MI","1","Dan Benishek","R",1,130410,0.521
"216",2014,"MI","2","Bill Huizenga","R",1,135949,0.636
"217",2014,"MI","3","Justin Amash","R",1,125747,0.579
"218",2014,"MI","4","John Moolenaar","R",0,124300,0.565
"219",2014,"MI","5","Dan Kildee","D",1,140939,0.668
"220",2014,"MI","6","Fred Upton","R",1,116601,0.558
"221",2014,"MI","7","Tim Walberg","R",1,118715,0.535
"222",2014,"MI","8","Mike Bishop","R",0,132445,0.548
"223",2014,"MI","9","Sander M. Levin","D",1,136334,0.604
"224",2014,"MI","10","Candice S. Miller","R",1,156678,0.687
"225",2014,"MI","11","Dave Trott","R",0,138229,0.561
"226",2014,"MI","12","Debbie Dingell","D",0,133323,0.65
"227",2014,"MI","13","John Conyers Jr.","D",1,130905,0.797
"228",2014,"MI","14","Brenda Lawrence","D",0,165116,0.777
"229",2014,"MN","S","Al Franken","D",1,1052794,0.532
"230",2014,"MN","1","Tim Walz","D",1,122637,0.543
"231",2014,"MN","2","John Kline","R",1,137780,0.561
"232",2014,"MN","3","Erik Paulsen","R",1,167517,0.622
"233",2014,"MN","4","Betty McCollum","D",1,147842,0.612
"234",2014,"MN","5","Keith Ellison","D",1,167079,0.709
"235",2014,"MN","6","Tom Emmer","R",0,133332,0.563
"236",2014,"MN","7","Collin C. Peterson","D",1,130536,0.543
"237",2014,"MN","8","Rick Nolan","D",1,128920,0.485
"238",2014,"MS","S","Thad Cochran","R",1,370208,0.604
"239",2014,"MS","1","Alan Nunnelee","R",1,101451,0.68
"240",2014,"MS","2","Bennie Thompson","D",1,96631,0.675
"241",2014,"MS","3","Gregg Harper","R",1,115396,0.69
"242",2014,"MS","4","Steven M. Palazzo","R",1,106277,0.7
"243",2014,"MO","1","Lacy Clay","D",1,118005,0.729
"244",2014,"MO","2","Ann Wagner","R",1,147025,0.641
"245",2014,"MO","3","Blaine Luetkemeyer","R",1,130859,0.684
"246",2014,"MO","4","Vicky Hartzler","R",1,119995,0.681
"247",2014,"MO","5","Emanuel Cleaver II","D",1,79094,0.516
"248",2014,"MO","6","Sam Graves","R",1,124547,0.666
"249",2014,"MO","7","Billy Long","R",1,104027,0.635
"250",2014,"MO","8","Jason Smith","R",1,106105,0.667
"251",2014,"MT","S","Steve Daines","R",0,210863,0.579
"252",2014,"MT","1","Ryan Zinke","R",0,201004,0.555
"253",2014,"NE","S","Ben Sasse","R",0,339868,0.648
"254",2014,"NE","1","Jeff Fortenberry","R",1,122259,0.69
"255",2014,"NE","2","Brad Ashford","D",0,76354,0.486
"256",2014,"NE","3","Adrian Smith","R",1,139994,0.755
"257",2014,"NV","1","Dina Titus","D",1,45618,0.568
"258",2014,"NV","2","Mark Amodei","R",1,122575,0.658
"259",2014,"NV","3","Joe Heck","R",1,88502,0.608
"260",2014,"NV","4","Cresent Hardy","R",0,63435,0.485
"261",2014,"NH","S","Jeanne Shaheen","D",1,250722,0.516
"262",2014,"NH","1","Frank Guinta","R",0,125321,0.518
"263",2014,"NH","2","Ann McLane Kuster","D",1,130428,0.55
"264",2014,"NJ","S","Cory Booker","D",1,1016204,0.558
"265",2014,"NJ","1","Donald Norcross","D",0,91834,0.573
"266",2014,"NJ","2","Frank A. LoBiondo","R",1,104958,0.617
"267",2014,"NJ","3","Tom MacArthur","R",0,95922,0.545
"268",2014,"NJ","4","Christopher H. Smith","R",1,115748,0.68
"269",2014,"NJ","5","Scott Garrett","R",1,100557,0.557
"270",2014,"NJ","6","Frank Pallone Jr.","D",1,70741,0.6
"271",2014,"NJ","7","Leonard Lance","R",1,103687,0.593
"272",2014,"NJ","8","Albio Sires","D",1,60628,0.773
"273",2014,"NJ","9","Bill Pascrell Jr.","D",1,78920,0.685
"274",2014,"NJ","10","Donald M. Payne Jr.","D",1,94057,0.853
"275",2014,"NJ","11","Rodney Frelinghuysen","R",1,108808,0.626
"276",2014,"NJ","12","Bonnie Watson Coleman","D",0,89699,0.609
"277",2014,"NM","S","Tom Udall","D",1,280074,0.554
"278",2014,"NM","1","Michelle Lujan Grisham","D",1,102471,0.585
"279",2014,"NM","2","Steve Pearce","R",1,94607,0.645
"280",2014,"NM","3","Ben Ray Luján","D",1,110497,0.612
"281",2014,"NY","1","Lee Zeldin","R",0,89564,0.548
"282",2014,"NY","2","Peter King","R",1,91701,0.685
"283",2014,"NY","3","Steve Israel","D",1,85310,0.545
"284",2014,"NY","4","Kathleen Rice","D",0,85294,0.527
"285",2014,"NY","5","Gregory W. Meeks","D",1,72454,0.952
"286",2014,"NY","6","Grace Meng","D",1,NA,NA
"287",2014,"NY","7","Nydia M. Velázquez","D",1,53283,0.89
"288",2014,"NY","8","Hakeem Jeffries","D",1,71280,0.919
"289",2014,"NY","9","Yvette D. Clarke","D",1,78157,0.895
"290",2014,"NY","10","Jerrold Nadler","D",1,82880,0.876
"291",2014,"NY","11","Michael G. Grimm","R",1,56221,0.554
"292",2014,"NY","12","Carolyn B. Maloney","D",1,83870,0.799
"293",2014,"NY","13","Charles B. Rangel","D",1,64142,0.874
"294",2014,"NY","14","Joe Crowley","D",1,47370,0.882
"295",2014,"NY","15","José E. Serrano","D",1,51665,0.972
"296",2014,"NY","16","Eliot L. Engel","D",1,NA,NA
"297",2014,"NY","17","Nita M. Lowey","D",1,93001,0.562
"298",2014,"NY","18","Sean Patrick Maloney","D",1,84415,0.496
"299",2014,"NY","19","Christopher Gibson","R",1,124428,0.65
"300",2014,"NY","20","Paul Tonko","D",1,118993,0.612
"301",2014,"NY","21","Elise Stefanik","R",0,90164,0.552
"302",2014,"NY","22","Richard Hanna","R",1,NA,NA
"303",2014,"NY","23","Thomas Reed","R",1,105623,0.626
"304",2014,"NY","24","John Katko","R",0,112979,0.599
"305",2014,"NY","25","Louise M. Slaughter","D",1,93053,0.502
"306",2014,"NY","26","Brian Higgins","D",1,79344,0.689
"307",2014,"NY","27","Chris Collins","R",1,125178,0.717
"308",2014,"NC","S","Thom Tillis","R",0,1413269,0.49
"309",2014,"NC","1","G.K. Butterfield","D",1,150529,0.733
"310",2014,"NC","2","Renee Ellmers","R",1,121336,0.589
"311",2014,"NC","3","Walter B. Jones","R",1,138307,0.678
"312",2014,"NC","4","David E. Price","D",1,168005,0.747
"313",2014,"NC","5","Virginia Foxx","R",1,138905,0.61
"314",2014,"NC","6","Mark Walker","R",0,146329,0.587
"315",2014,"NC","7","David Rouzer","R",0,134026,0.594
"316",2014,"NC","8","Richard Hudson","R",1,120444,0.649
"317",2014,"NC","9","Robert Pittenger","R",1,NA,NA
"318",2014,"NC","10","Patrick T. McHenry","R",1,132936,0.61
"319",2014,"NC","11","Mark Meadows","R",1,143833,0.629
"320",2014,"NC","12","Alma Adams","D",0,129178,0.754
"321",2014,"NC","13","George Holding","R",1,152430,0.573
"322",2014,"ND","1","Kevin Cramer","R",1,137569,0.556
"323",2014,"OH","1","Steve Chabot","R",1,122721,0.635
"324",2014,"OH","2","Brad Wenstrup","R",1,130479,0.661
"325",2014,"OH","3","Joyce Beatty","D",1,89048,0.639
"326",2014,"OH","4","Jim Jordan","R",1,124215,0.678
"327",2014,"OH","5","Bob Latta","R",1,132448,0.666
"328",2014,"OH","6","Bill Johnson","R",1,109829,0.582
"329",2014,"OH","7","Bob Gibbs","R",1,NA,NA
"330",2014,"OH","8","John A. Boehner","R",1,124925,0.673
"331",2014,"OH","9","Marcy Kaptur","D",1,106338,0.677
"332",2014,"OH","10","Michael R. Turner","R",1,128758,0.654
"333",2014,"OH","11","Marcia L. Fudge","D",1,132396,0.792
"334",2014,"OH","12","Pat Tiberi","R",1,147871,0.682
"335",2014,"OH","13","Tim Ryan","D",1,118650,0.685
"336",2014,"OH","14","David Joyce","R",1,133520,0.633
"337",2014,"OH","15","Steve Stivers","R",1,126457,0.661
"338",2014,"OH","16","James B. Renacci","R",1,130463,0.638
"339",2014,"OK","S","Jim Inhofe","R",1,557537,0.68
"340",2014,"OK","S","James Lankford","R",0,556382,0.679
"341",2014,"OK","1","Jim Bridenstine","R",1,NA,NA
"342",2014,"OK","2","Markwayne Mullin","R",1,110819,0.7
"343",2014,"OK","3","Frank D. Lucas","R",1,133070,0.787
"344",2014,"OK","4","Tom Cole","R",1,117649,0.708
"345",2014,"OK","5","Steve Russell","R",0,95557,0.601
"346",2014,"OR","S","Jeff Merkley","D",1,744516,0.558
"347",2014,"OR","1","Suzanne Bonamici","D",1,135244,0.576
"348",2014,"OR","2","Greg Walden","R",1,197920,0.708
"349",2014,"OR","3","Earl Blumenauer","D",1,192844,0.73
"350",2014,"OR","4","Peter A. DeFazio","D",1,172550,0.584
"351",2014,"OR","5","Kurt Schrader","D",1,137657,0.539
"352",2014,"PA","1","Robert A. Brady","D",1,128669,0.829
"353",2014,"PA","2","Chaka Fattah","D",1,177648,0.877
"354",2014,"PA","3","Mike Kelly","R",1,112406,0.605
"355",2014,"PA","4","Scott Perry","R",1,146317,0.745
"356",2014,"PA","5","Glenn Thompson","R",1,113485,0.636
"357",2014,"PA","6","Ryan Costello","R",0,118450,0.562
"358",2014,"PA","7","Patrick Meehan","R",1,143265,0.62
"359",2014,"PA","8","Michael G. Fitzpatrick","R",1,137676,0.619
"360",2014,"PA","9","Bill Shuster","R",1,108587,0.636
"361",2014,"PA","10","Tom Marino","R",1,111547,0.625
"362",2014,"PA","11","Lou Barletta","R",1,121618,0.663
"363",2014,"PA","12","Keith Rothfus","R",1,126567,0.593
"364",2014,"PA","13","Brendan Boyle","D",0,122651,0.671
"365",2014,"PA","14","Mike Doyle","D",1,NA,NA
"366",2014,"PA","15","Charlie Dent","R",1,NA,NA
"367",2014,"PA","16","Joe Pitts","R",1,101083,0.578
"368",2014,"PA","17","Matt Cartwright","D",1,93177,0.568
"369",2014,"PA","18","Tim Murphy","R",1,NA,NA
"370",2014,"RI","S","Jack Reed","D",1,222776,0.707
"371",2014,"RI","1","David Cicilline","D",1,86660,0.596
"372",2014,"RI","2","Jim Langevin","D",1,105318,0.623
"373",2014,"SC","S","Lindsey Graham","R",1,665605,0.545
"374",2014,"SC","S","Tim Scott","R",1,749266,0.612
"375",2014,"SC","1","Mark Sanford","R",1,NA,NA
"376",2014,"SC","2","Joe Wilson","R",1,121379,0.626
"377",2014,"SC","3","Jeff Duncan","R",1,116021,0.714
"378",2014,"SC","4","Trey Gowdy","R",1,125930,0.852
"379",2014,"SC","5","Mick Mulvaney","R",1,102017,0.589
"380",2014,"SC","6","James E. Clyburn","D",1,125172,0.728
"381",2014,"SC","7","Tom Rice","R",1,102576,0.6
"382",2014,"SD","S","Mike Rounds","R",0,140721,0.504
"383",2014,"SD","1","Kristi Noem","R",1,183796,0.665
"384",2014,"TN","S","Lamar Alexander","R",1,849748,0.619
"385",2014,"TN","1","Phil Roe","R",1,115276,0.828
"386",2014,"TN","2","John J. Duncan Jr.","R",1,120853,0.725
"387",2014,"TN","3","Chuck Fleischmann","R",1,97301,0.624
"388",2014,"TN","4","Scott DesJarlais","R",1,84781,0.583
"389",2014,"TN","5","Jim Cooper","D",1,95635,0.623
"390",2014,"TN","6","Diane Black","R",1,115190,0.711
"391",2014,"TN","7","Marsha Blackburn","R",1,110498,0.7
"392",2014,"TN","8","Stephen Fincher","R",1,122205,0.708
"393",2014,"TN","9","Steve Cohen","D",1,87308,0.75
"394",2014,"TX","S","John Cornyn","R",1,2855068,0.616
"395",2014,"TX","1","Louie Gohmert","R",1,114925,0.775
"396",2014,"TX","2","Ted Poe","R",1,101795,0.68
"397",2014,"TX","3","Sam Johnson","R",1,112726,0.82
"398",2014,"TX","4","John Ratcliffe","R",0,NA,NA
"399",2014,"TX","5","Jeb Hensarling","R",1,89638,0.855
"400",2014,"TX","6","Joe L. Barton","R",1,92285,0.612
"401",2014,"TX","7","John Culberson","R",1,90422,0.633
"402",2014,"TX","8","Kevin Brady","R",1,124897,0.893
"403",2014,"TX","9","Al Green","D",1,77979,0.908
"404",2014,"TX","10","Michael McCaul","R",1,109311,0.622
"405",2014,"TX","11","K. Michael Conaway","R",1,107752,0.903
"406",2014,"TX","12","Kay Granger","R",1,113105,0.713
"407",2014,"TX","13","Mac Thornberry","R",1,110636,0.843
"408",2014,"TX","14","Randy Weber","R",1,89876,0.618
"409",2014,"TX","15","Rubén Hinojosa","D",1,48561,0.542
"410",2014,"TX","16","Beto O'Rourke","D",1,49257,0.675
"411",2014,"TX","17","Bill Flores","R",1,85085,0.646
"412",2014,"TX","18","Sheila Jackson Lee","D",1,75963,0.718
"413",2014,"TX","19","Randy Neugebauer","R",1,89701,0.772
"414",2014,"TX","20","Joaquin Castro","D",1,66538,0.757
"415",2014,"TX","21","Lamar Smith","R",1,135513,0.718
"416",2014,"TX","22","Pete Olson","R",1,100780,0.666
"417",2014,"TX","23","Will Hurd","R",0,57901,0.498
"418",2014,"TX","24","Kenny Marchant","R",1,93446,0.651
"419",2014,"TX","25","Roger Williams","R",1,106929,0.602
"420",2014,"TX","26","Michael C. Burgess","R",1,116758,0.827
"421",2014,"TX","27","Blake Farenthold","R",1,83270,0.636
"422",2014,"TX","28","Henry Cuellar","D",1,62471,0.821
"423",2014,"TX","29","Gene Green","D",1,41229,0.895
"424",2014,"TX","30","Eddie Bernice Johnson","D",1,92971,0.879
"425",2014,"TX","31","John Carter","R",1,91484,0.641
"426",2014,"TX","32","Pete Sessions","R",1,96420,0.618
"427",2014,"TX","33","Marc Veasey","D",1,43728,0.865
"428",2014,"TX","34","Filemon Vela","D",1,47457,0.596
"429",2014,"TX","35","Lloyd Doggett","D",1,60027,0.625
"430",2014,"TX","36","Brian Babin","R",0,100933,0.76
"431",2014,"UT","1","Rob Bishop","R",1,70240,0.642
"432",2014,"UT","2","Chris Stewart","R",1,76966,0.604
"433",2014,"UT","3","Jason Chaffetz","R",1,94571,0.723
"434",2014,"UT","4","Mia Love","R",0,64390,0.5
"435",2014,"VT","1","Peter Welch","D",1,123896,0.644
"436",2014,"VA","S","Mark Warner","D",1,1071283,0.492
"437",2014,"VA","1","Rob Wittman","R",1,131596,0.63
"438",2014,"VA","2","Scott Rigell","R",1,138149,0.579
"439",2014,"VA","3","Robert C. Scott","D",1,NA,NA
