STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AS,0,H0AS00018,(I),Eni F. H.,Faleomavaega,D,n/a,,,,"7,499",60.38%
AS,0,H8AS00052,,Rosie F. Tago,Lancaster,I,n/a,,,,570,4.59%
AS,0,H4AS00036,,Aumua,Amata,R,n/a,,,,"4,350",35.03%
AS,0,n/a,,,,,n/a,,,,"12,419",
AS,H,n/a,,,,,n/a,,,,"12,419",
AZ,1,H8AZ01104,,Ann,Kirkpatrick,D,"26,734",47.24%,,,"155,791",55.88%
AZ,1,H8AZ01096,,Mary Kim,Titla,D,"18,428",32.56%,,,,
AZ,1,H8AZ01070,,Howard,Shanker,D,"8,056",14.23%,,,,
AZ,1,H8AZ01138,,Jeffrey,Brown,D,"3,376",5.97%,,,,
AZ,1,n/a,,,,D,"56,594",,,,,
AZ,1,H2AZ01149,,Sydney,Hay,R,"17,825",39.06%,,,"109,924",39.43%
AZ,1,H8AZ01179,,Sandra L. B.,Livingstone,R,"15,621",34.23%,,,,
AZ,1,H8AZ01187,,Tom,Hansen,R,"7,847",17.20%,,,,
AZ,1,H8AZ01195,,Barry,Hall,R,"2,743",6.01%,,,,
AZ,1,H8AZ01146,,Preston,Korn,R,"1,596",3.50%,,,,
AZ,1,n/a,,,,R,"45,632",,,,,
AZ,1,H8AZ01120,,Brent,Maupin,I,n/a,n/a,,,"9,394",3.37%
AZ,1,H8AZ01203,,Thane,Eichenauer,W(LBT)/LBT,43,100.00%,,,"3,678",1.32%
AZ,1,n/a,,,,LBT,43,,,,,
AZ,1,n/a,,,,,"102,269",,,,"278,787",
AZ,2,H4AZ04024,(I),Trent,Franks,R,"58,707",100.00%,,,"200,914",59.44%
AZ,2,n/a,,,,R,"58,707",,,,,
AZ,2,H6AZ02155,,John,Thrasher,D,"27,711",100.00%,,,"125,611",37.16%
AZ,2,n/a,,,,D,"27,711",,,,,
AZ,2,H4AZ02119,,Powell,Gammill,LBT,199,100.00%,,,"7,882",2.33%
AZ,2,n/a,,,,LBT,199,,,,,
AZ,2,H6AZ00027,,William,Crum,GRE,118,100.00%,,,"3,616",1.07%
AZ,2,n/a,,,,GRE,118,,,,,
AZ,2,n/a,,,,,"86,735",,,,"338,023",
AZ,3,H4AZ04016,(I),John,Shadegg,R,"43,538",100.00%,,,"148,800",54.08%
AZ,3,n/a,,,,R,"43,538",,,,,
AZ,3,H8AZ03100,,Bob,Lord,D,"22,554",100.00%,,,"115,759",42.07%
AZ,3,n/a,,,,D,"22,554",,,,,
AZ,3,H8AZ03134,,Michael,Shoen,LBT,228,100.00%,,,"10,602",3.85%
AZ,3,n/a,,,,LBT,228,,,,,
AZ,3,n/a,,,,,"66,320",,,,"275,161",
AZ,4,H2AZ02055,(I),Ed,Pastor,D,"18,660",100.00%,,,"89,721",72.11%
AZ,4,n/a,,,,D,"18,660",,,,,
AZ,4,H2AZ04101,,Don,Karg,R,"8,073",99.90%,,,"26,435",21.25%
AZ,4,H8AZ06012,,Richard,Grayson,W(R),8,0.10%,,,,
AZ,4,n/a,,,,R,"8,081",,,,,
AZ,4,H8AZ04116,,Rebecca,DeWitt,GRE,71,100.00%,,,"4,464",3.59%
AZ,4,n/a,,,,GRE,71,,,,,
AZ,4,H8AZ04124,,Joe,Cobb,LBT,156,100.00%,,,"3,807",3.06%
AZ,4,n/a,,,,LBT,156,,,,,
AZ,4,n/a,,,,,"26,968",,,,"124,427",
AZ,5,H6AZ05067,(I),Harry,Mitchell,D,"25,174",100.00%,,,"149,033",53.16%
AZ,5,n/a,,,,D,"25,174",,,,,
AZ,5,H4AZ06045,,David,Schweikert,R,"14,233",29.50%,,,"122,165",43.57%
AZ,5,H4AZ01061,,Susan,Bitter Smith,R,"13,212",27.38%,,,,
AZ,5,H8AZ05089,,Laura,Knaperek,R,"7,523",15.59%,,,,
AZ,5,H8AZ05113,,Mark,Anderson,R,"6,539",13.55%,,,,
AZ,5,H8AZ05071,,Jim,Ogsbury,R,"6,042",12.52%,,,,
AZ,5,H8AZ05121,,Lee,Gentry,R,706,1.46%,,,,
AZ,5,n/a,,,,R,"48,255",,,,,
AZ,5,H2AZ05124,,Warren,Severin,LBT,207,100.00%,,,"9,158",3.27%
AZ,5,n/a,,,,LBT,207,,,,,
AZ,5,H8AZ05147,,Ralph,Hughes,W,n/a,n/a,,,9,0.00%
AZ,5,n/a,,,,,"73,636",,,,"280,365",
AZ,6,H0AZ01184,(I),Jeff,Flake,R,"51,562",100.00%,,,"208,582",62.42%
AZ,6,n/a,,,,R,"51,562",,,,,
AZ,6,H8AZ06053,,Rebecca ,Schneider,D,"15,644",73.75%,,,"115,457",34.55%
AZ,6,H8AZ06046,,Chris,Gramazio,D,"5,568",26.25%,,,,
AZ,6,n/a,,,,D,"21,212",,,,,
AZ,6,H8AZ06061,,Rick,Biondi,LBT,175,100.00%,,,"10,137",3.03%
AZ,6,n/a,,,,LBT,175,,,,,
AZ,6,n/a,,,,,"72,949",,,,"334,176",
AZ,7,H2AZ07070,(I),Raìl,Grijalva,D,"30,630",100.00%,,,"124,304",63.26%
AZ,7,n/a,,,,D,"30,630",,,,,
AZ,7,H4AZ02010,,Joseph,Sweeney,R,"11,011",66.83%,,,"64,425",32.79%
AZ,7,H8AZ07010,,Gene,Chewning,R,"5,464",33.17%,,,,
AZ,7,n/a,,,,R,"16,475",,,,,
AZ,7,H8AZ07036,,Raymond Patrick,Petrulsky,W(LBT)/LBT,33,100.00%,,,"7,755",3.95%
AZ,7,n/a,,,,LBT,33,,,,,
AZ,7,H8AZ07028,,Harley,Meyer,W,n/a,n/a,,,5,0.00%
AZ,7,n/a,,,,,"47,138",,,,"196,489",
AZ,8,H6AZ08038,(I),Gabrielle,Giffords,D,"46,223",100.00%,,,"179,629",54.72%
AZ,8,n/a,,,,D,"46,223",,,,,
AZ,8,H8AZ08018,,Tim,Bee,R,"52,671",100.00%,,,"140,553",42.82%
AZ,8,n/a,,,,R,"52,671",,,,,
AZ,8,H8AZ08042,,Paul,Davis,W(LBT)/W,40,100.00%,,,"8,081",2.46%
AZ,8,n/a,,,,LBT,40,,,,,
AZ,8,H6AZ08160,,Paul,Price,W,n/a,n/a,,,3,0.00%
AZ,8,n/a,,,,,"98,934",,,,"328,266",
AZ,H,n/a,,,,,"574,949",,,,"2,155,694",
AR,1,H6AR01072,(I),Marion,Berry,D,Unopposed,,,,Unopposed,
AR,1,n/a,,,,,n/a,,,,n/a,
AR,2,H6AR02203,(I),Vic,Snyder,D,Unopposed,,,,"212,303",76.54%
AR,2,H8AR02100,,Deb,McFarland,GRE,,,,,"64,398",23.22%
AR,2,H8AR02118,,Danial,Suits,W,,,,,665,0.24%
AR,2,n/a,,,,,,,,,"277,366",
AR,3,H2AR03176,(I),John,Boozman,R,Unopposed,,,,"215,196",78.53%
AR,3,H8AR03058,,Abel Noah,Tomlinson,GRE,,,,,"58,850",21.47%
AR,3,n/a,,,,,,,,,"274,046",
AR,4,H0AR04038,(I),Mike,Ross,D,Unopposed,,,,"203,178",86.17%
AR,4,H8AR04098,,Joshua,Drake,GRE,,,,,"32,603",13.83%
AR,4,n/a,,,,,,,,,"235,781",
AR,H,n/a,,,,,,,,,"787,193",
AR,S,S0AR00028,(I),Mark,Pryor,D,Unopposed,,,,"804,678",79.53%
AR,S,S8AR00179,,Rebekah,Kennedy,GRE,n/a,,,,"207,076",20.47%
AR,S,n/a,,,,,,,,,"1,011,754",
CA,1,H8CA01109,(I),Mike,Thompson,D,"69,622",87.71%,,,"197,812",68.10%
CA,1,H8CA01166,,Mitchell,Clogg,D,"9,752",12.29%,,,,
CA,1,n/a,,,,D,"79,374",,,,,
CA,1,H8CA01174,,Zane,Starkewolf,R,"18,346",54.00%,,,"67,853",23.36%
CA,1,H8CA01158,,Douglas,Pharr,R,"15,628",46.00%,,,,
CA,1,n/a,,,,R,"33,974",,,,,
CA,1,H8CA01182,,Carol,Wolman,GRE,"2,101",100.00%,,,"24,793",8.54%
CA,1,n/a,,,,GRE,"2,101",,,,,
CA,1,n/a,,Pamela,Elizondo,W,,,,,14,0.00%
CA,1,n/a,,,,,"115,449",,,,"290,472",
CA,2,H8CA02010,(I),Wally,Herger,R,"62,394",100.00%,,,"163,459",57.89%
CA,2,n/a,,,,R,"62,394",,,,,
CA,2,H8CA02073,,Jeff,Morris,D,"14,750",34.66%,,,"118,878",42.11%
CA,2,H4CA02072,,Arjinderpal,Sekhon,D,"14,340",33.69%,,,,
CA,2,H8CA00085,,John,Jacobson,D,"13,470",31.65%,,,,
CA,2,n/a,,,,D,"42,560",,,,,
CA,2,n/a,,,,,"104,954",,,,"282,337",
CA,3,H6CA34112,(I),Dan,Lungren,R,"50,532",100.00%,,,"155,424",49.49%
CA,3,n/a,,,,R,"50,532",,,,,
CA,3,H6CA03091,,William,Durston,D,"37,318",100.00%,,,"137,971",43.93%
CA,3,n/a,,,,D,"37,318",,,,,
CA,3,H8CA03162,,Dina J.,Padilla,PAF,83,100.00%,,,"13,378",4.26%
CA,3,n/a,,,,PAF,83,,,,,
CA,3,H8CA03154,,Douglas Arthur,Tuma,LBT,347,100.00%,,,"7,273",2.32%
CA,3,n/a,,,,LBT,347,,,,,
CA,3,n/a,,,,,"88,280",,,,"314,046",
CA,4,H8CA04152,,Tom,McClintock,R,"51,665",53.46%,,,"185,790",50.24%
CA,4,H8CA03105,,Doug,Ose,R,"37,802",39.12%,,,,
CA,4,H8CA04160,,Suzanne,Jones,R,"4,920",5.09%,,,,
CA,4,H8CA04145,,Theodore,Terbolizard,R,"2,249",2.33%,,,,
CA,4,n/a,,,,R,"96,636",,,,,
CA,4,H6CA04123,,Charlie,Brown,D,"51,028",87.99%,,,"183,990",49.76%
CA,4,H8CA04178,,John,Wolfgram,D,"6,962",12.01%,,,,
CA,4,n/a,,,,D,"57,990",,,,,
CA,4,n/a,,,,,"154,626",,,,"369,780",
CA,5,H6CA05195,(I),Doris,Matsui,D,"51,006",100.00%,,,"164,242",74.27%
CA,5,n/a,,,,D,"51,006",,,,,
CA,5,H8CA05159,,Paul A.,Smith,R,"18,232",100.00%,,,"46,002",20.80%
CA,5,n/a,,,,R,"18,232",,,,,
CA,5,H8CA05175,,L. R.,Roberts,PAF,172,100.00%,,,"10,731",4.85%
CA,5,n/a,,,,PAF,172,,,,,
CA,5,H8CA05167,,David B.,Lynch,W,,,,,180,0.08%
CA,5,n/a,,,,,"69,410",,,,"221,155",
CA,6,H2CA01045,(I),Lynn,Woolsey,D,"88,969",99.97%,,,"229,672",71.69%
CA,6,H8CA06074,,Edward K.,Newman,W(D),26,0.03%,,,,
CA,6,n/a,,,,D,"88,995",,,,,
CA,6,H6CA06193,,Michael,Halliwell,R,"29,527",100.00%,,,"77,073",24.06%
CA,6,n/a,,,,R,"29,527",,,,,
CA,6,H8CA06066,,Joel R.,Smolen,LBT,515,100.00%,,,"13,617",4.25%
CA,6,n/a,,,,LBT,515,,,,,
CA,6,n/a,,,,,"119,037",,,,"320,362",
CA,7,H6CA07043,(I),George,Miller,D,"49,260",100.00%,,,"170,962",72.82%
CA,7,n/a,,,,D,"49,260",,,,,
CA,7,H8CA07049,,Roger Allen,Petersen,R,"9,658",55.77%,,,"51,166",21.79%
CA,7,H8CA07031,,Virginia,Fuller-Kendall,R,"7,660",44.23%,,,,
CA,7,n/a,,,,R,"17,318",,,,,
CA,7,H4CA07030,,Bill,Callison,PAF,80,100.00%,,,"6,695",2.85%
CA,7,n/a,,,,PAF,80,,,,,
CA,7,H6CA07118,,Camden,McConnell,LBT,237,100.00%,,,"5,950",2.53%
CA,7,n/a,,,,LBT,237,,,,,
CA,7,n/a,,,,,"66,895",,,,"234,773",
CA,8,H8CA05035,(I),Nancy,Pelosi,D,"83,510",89.21%,,,"204,996",71.87%
CA,8,H8CA08070,,Shirley,Golub,D,"10,105",10.79%,,,,
CA,8,n/a,,,,D,"93,615",,,,,
CA,8,H8CA08088,,Cindy,Sheehan,I,n/a,n/a,,,"46,118",16.17%
CA,8,H8CA08062,,Dana,Walsh,R,"7,903",100.00%,,,"27,614",9.68%
CA,8,n/a,,,,R,"7,903",,,,,
CA,8,H6CA08173,,Philip Z.,Berg,LBT,276,100.00%,,,"6,504",2.28%
CA,8,n/a,,,,LBT,276,,,,,
CA,8,n/a,,Lea,Sherman,W,,,,,11,0.00%
CA,8,n/a,,Michelle Wong,Clay,W,,,,,4,0.00%
CA,8,n/a,,,,,"101,794",,,,"285,247",
CA,9,H8CA09060,(I),Barbara,Lee,D,"80,466",99.90%,,,"238,915",86.06%
CA,9,H8CA09136,,Brad,Newsham,W(D),79,0.10%,,,,
CA,9,n/a,,,,D,"80,545",,,,,
CA,9,H8CA09128,,Charles,Hargrave,R,"7,893",100.00%,,,"26,917",9.70%
CA,9,n/a,,,,R,"7,893",,,,,
CA,9,H2CA09097,,James M.,Eyer,LBT,225,100.00%,,,"11,704",4.22%
CA,9,n/a,,,,LBT,225,,,,,
CA,9,n/a,,David,Heller,W,,,,,37,0.01%
CA,9,n/a,,Christopher,Kula,W,,,,,27,0.01%
CA,9,n/a,,,,,"88,663",,,,"277,600",
CA,10,H6CA10088,(I),Ellen O.,Tauscher,D,"55,427",100.00%,,,"192,226",65.12%
CA,10,n/a,,,,D,"55,427",,,,,
CA,10,H8CA10084,,Nicholas,Gerber,R,"30,324",100.00%,,,"91,877",31.13%
CA,10,n/a,,,,R,"30,324",,,,,
CA,10,H8CA10092,,Eugene E.,Ruyle,PAF,63,100.00%,,,"11,062",3.75%
CA,10,n/a,,,,PAF,63,,,,,
CA,10,n/a,,,,,"85,814",,,,"295,165",
CA,11,H4CA11081,(I),Jerry,McNerney,D,"40,403",100.00%,,,"164,500",55.27%
CA,11,n/a,,,,D,"40,403",,,,,
CA,11,H8CA11082,,Dean,Andal,R,"41,879",100.00%,,,"133,104",44.72%
CA,11,n/a,,,,R,"41,879",,,,,
CA,11,n/a,,David,Christensen,W,,,,,12,0.00%
CA,11,n/a,,,,,"82,282",,,,"297,616",
CA,12,H8CA12171,(I),Jackie,Speier,D,"60,393",89.52%,,,"200,442",75.11%
CA,12,H8CA12189,,Michelle,McMurry,D,"3,827",5.67%,,,,
CA,12,H8CA12205,,Frank,Wade,D,"1,652",2.45%,,,,
CA,12,H6CA12159,,Robert,Barrows,D,"1,594",2.36%,,,,
CA,12,n/a,,,,D,"67,466",,,,,
CA,12,H8CA12197,,Greg,Conlon,R,"12,060",64.99%,,,"49,258",18.46%
CA,12,H8CA12148,,Michael,Moloney,R,"6,498",35.01%,,,,
CA,12,n/a,,,,R,"18,558",,,,,
CA,12,H8CA12221,,Nathalie,Hrizi,PAF,90,100.00%,,,"5,793",2.17%
CA,12,n/a,,,,PAF,90,,,,,
CA,12,H4CA12089,,Barry,Hermanson,GRE,633,100.00%,,,"5,776",2.16%
CA,12,n/a,,,,GRE,633,,,,,
CA,12,H8CA12213,,Kevin Dempsey,Peterson,LBT,230,100.00%,,,"5,584",2.09%
CA,12,n/a,,,,LBT,230,,,,,
CA,12,n/a,,,,,"86,977",,,,"266,853",
CA,13,H6CA09023,(I),Fortney,Stark,D,"42,897",100.00%,,,"166,829",76.43%
CA,13,n/a,,,,D,"42,897",,,,,
CA,13,H8CA13088,,Raymond,Chui,R,"12,706",100.00%,,,"51,447",23.57%
CA,13,n/a,,,,R,"12,706",,,,,
CA,13,n/a,,,,,"55,603",,,,"218,276",
CA,14,H8CA12098,(I),Anna G.,Eshoo,D,"60,856",100.00%,,,"190,301",69.77%
CA,14,n/a,,,,D,"60,856",,,,,
CA,14,H8CA14169,,Ronny,Santana,R,"22,812",100.00%,,,"60,610",22.22%
CA,14,n/a,,,,R,"22,812",,,,,
CA,14,H4CA14085,,Brian,Holtz,LBT,524,100.00%,,,"11,929",4.37%
CA,14,n/a,,,,LBT,524,,,,,
CA,14,H6CA14098,,Carol,Brouillet,GRE,784,100.00%,,,"9,926",3.64%
CA,14,n/a,,,,GRE,784,,,,,
CA,14,n/a,,,,,"84,976",,,,"272,766",
CA,15,H0CA15148,(I),Mike,Honda,D,"46,652",100.00%,,,"170,977",71.66%
CA,15,n/a,,,,D,"46,652",,,,,
CA,15,H8CA15083,,Joyce Stoer,Cordi,R,"19,750",100.00%,,,"55,489",23.26%
CA,15,n/a,,,,R,"19,750",,,,,
CA,15,H8CA15091,,Peter,Myers,GRE,326,100.00%,,,"12,123",5.08%
CA,15,n/a,,,,GRE,326,,,,,
CA,15,n/a,,,,,"66,728",,,,"238,589",
CA,16,H4CA16049,(I),Zoe,Lofgren,D,"39,616",100.00%,,,"146,481",71.34%
CA,16,n/a,,,,D,"39,616",,,,,
CA,16,H6CA16127,,Charel,Winston,R,"16,836",100.00%,,,"49,399",24.06%
CA,16,n/a,,,,R,"16,836",,,,,
CA,16,H8CA16057,,Steven,Wells,LBT,255,100.00%,,,"9,447",4.60%
CA,16,n/a,,,,LBT,255,,,,,
CA,16,n/a,,,,,"56,707",,,,"205,327",
CA,17,H4CA17021,(I),Sam,Farr,D,"53,057",100.00%,,,"168,907",73.88%
CA,17,n/a,,,,D,"53,057",,,,,
CA,17,H8CA17089,,Jeff,Taylor,R,"23,188",100.00%,,,"59,037",25.82%
CA,17,n/a,,,,R,"23,188",,,,,
CA,17,n/a,,Peter,Andresen,W,,,,,682,0.30%
CA,17,n/a,,,,,"76,245",,,,"228,626",
CA,18,H2CA18056,(I),Dennis A.,Cardoza,D,"26,392",100.00%,,,"130,192",100.00%
CA,18,n/a,,,,D,"26,392",,,,,
CA,18,n/a,,,,,"26,392",,,,"130,192",
CA,19,H2CA19054,(I),George P.,Radanovich,R,"51,645",100.00%,,,"179,245",98.43%
CA,19,n/a,,,,R,"51,645",,,,,
CA,19,n/a,,Peter,Leinau,W,,,,,"2,490",1.37%
CA,19,n/a,,Phil,Rockey,W,,,,,366,0.20%
CA,19,n/a,,,,,"51,645",,,,"182,101",
CA,20,H4CA20082,(I),Jim,Costa,D,"22,042",100.00%,,,"93,023",74.33%
CA,20,n/a,,,,D,"22,042",,,,,
CA,20,H6CA20137,,Jim,Lopez,R,"11,257",100.00%,,,"32,118",25.67%
CA,20,n/a,,,,R,"11,257",,,,,
CA,20,n/a,,,,,"33,299",,,,"125,141",
CA,21,H8CA20059,(I),Devin G.,Nunes,R,"41,638",100.00%,,,"143,498",68.39%
CA,21,n/a,,,,R,"41,638",,,,,
CA,21,H8CA21107,,Larry,Johnson,D,"21,738",100.00%,,,"66,317",31.61%
CA,21,n/a,,,,D,"21,738",,,,,
CA,21,n/a,,,,,"63,376",,,,"209,815",
CA,22,H6CA22125,(I),Kevin,McCarthy,R,"61,915",100.00%,,,"224,549",100.00%
CA,22,n/a,,,,R,"61,915",,,,,
CA,22,n/a,,,,,"61,915",,,,"224,549",
CA,23,H8CA22089,(I),Lois,Capps,D,"50,385",99.68%,,,"171,403",68.07%
CA,23,H8CA23087,,Sandra,Marshall-Eminger,W(D),164,0.32%,,,,
CA,23,n/a,,,,D,"50,549",,,,,
CA,23,H8CA23079,,Matt T.,Kokkonen,R,"30,094",100.00%,,,"80,385",31.93%
CA,23,n/a,,,,R,"30,094",,,,,
CA,23,n/a,,,,,"80,643",,,,"251,788",
CA,24,H6CA21028,(I),Elton,Gallegly,R,"45,124",77.04%,,,"174,492",58.15%
CA,24,H6CA24279,,Michael,Tenenbaum,R,"13,446",22.96%,,,,
CA,24,n/a,,,,R,"58,570",,,,,
CA,24,H8CA24143,,Marta Ann,Jorgensen,D,"17,640",45.58%,,,"125,560",41.85%
CA,24,H6CA24253,,Jill,Martinez,D,"12,324",31.85%,,,,
CA,24,H6CA24246,,Mary,Pallant,D,"8,733",22.57%,,,,
CA,24,n/a,,,,D,"38,697",,,,,
CA,24,n/a,,,,,"97,267",,,,"300,052",
CA,25,H2CA25036,(I),"Howard P. ""Buck""",McKeon,R,"30,937",100.00%,,,"144,660",57.73%
CA,25,n/a,,,,R,"30,937",,,,,
CA,25,H8CA25058,,Jackie,Conaway,D,"18,054",100.00%,,,"105,929",42.27%
CA,25,n/a,,,,D,"18,054",,,,,
CA,25,n/a,,,,,"48,991",,,,"250,589",
CA,26,H8CA35032,(I),David,Dreier,R,"29,627",74.47%,,,"140,615",52.64%
CA,26,H4CA26113,,Sonny,Sardo,R,"10,158",25.53%,,,,
CA,26,n/a,,,,R,"39,785",,,,,
CA,26,H6CA26183,,Russ,Warner,D,"17,165",67.33%,,,"108,039",40.44%
CA,26,H4CA26097,,Cynthia,Matthews,D,"8,327",32.67%,,,,
CA,26,n/a,,,,D,"25,492",,,,,
CA,26,H8CA26098,,Ted,Brown,LBT,238,100.00%,,,"18,476",6.92%
CA,26,n/a,,,,LBT,238,,,,,
CA,26,n/a,,,,,"65,515",,,,"267,130",
CA,27,H6CA24113,(I),Brad,Sherman,D,"25,591",100.00%,,,"145,812",68.51%
CA,27,n/a,,,,D,"25,591",,,,,
CA,27,H8CA27088,,Navraj,Singh,R,"13,354",100.00%,,,"52,852",24.83%
CA,27,n/a,,,,R,"13,354",,,,,
CA,27,H8CA27096,,Tim,Denton,LBT,196,100.00%,,,"14,171",6.66%
