STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL,1,H2AL01077,(I),Jo,Bonner,R,Unopposed,,,,"210,660",98.27%
AL,1,n/a,,,Scattered,W,,,,,"3,707",1.73%
AL,1,H8AL01058,,Thomas E.,Fuller,D,Unopposed,,,,#,
AL,1,n/a,,,,,n/a,,,,"214,367",
AL,2,H8AL02130,,Bobby,Bright,D,"19,456",66.64%,,,"144,368",50.23%
AL,2,H8AL02155,,Cendie,Crawley,D,"5,110",17.50%,,,,
AL,2,H8AL02148,,Cheryl,Sabel,D,"4,631",15.86%,,,,
AL,2,n/a,,,,D,"29,197",,,,,
AL,2,H8AL02080,,Jay,Love,R,"20,131",35.48%,"24,725",53.11%,"142,578",49.61%
AL,2,H8AL02106,,Harri Anne,Smith,R,"12,349",21.77%,"21,827",46.89%,,
AL,2,H8AL02122,,Craig D.,Schmidtke,R,"11,350",20.01%,,,,
AL,2,H4AL02048,,David,Woods,R,"9,757",17.20%,,,,
AL,2,H8AL02114,,David,Grimes,R,"2,324",4.10%,,,,
AL,2,H8AL02098,,John W.,Martin,R,824,1.45%,,,,
AL,2,n/a,,,,R,"56,735",,"46,552",,,
AL,2,n/a,,,Scattered,W,,,,,448,0.16%
AL,2,n/a,,,,,"85,932",,"46,552",,"287,394",
AL,3,H2AL03032,(I),Mike,Rogers,R,Unopposed,,,,"142,708",54.03%
AL,3,H8AL03047,,Joshua,Segall,D,Unopposed,,,,"121,080",45.84%
AL,3,n/a,,,Scattered,W,,,,,332,0.13%
AL,3,n/a,,,,,,,,,"264,120",
AL,4,H6AL04098,(I),Robert,Aderholt,R,Unopposed,,,,"196,741",74.76%
AL,4,H8AL04052,,Nicholas B.,Sparks,D,"15,777",58.09%,,,"66,077",25.11%
AL,4,H8AL04045,,Greg,Warren,D,"11,381",41.91%,,,,
AL,4,n/a,,,,D,"27,158",,,,,
AL,4,n/a,,,Scattered,W,,,,,349,0.13%
AL,4,n/a,,,,,"27,158",,,,"263,167",
AL,5,H8AL05109,,Parker,Griffith,D,"34,543",89.92%,,,"158,324",51.52%
AL,5,H8AL05117,,David,Maker,D,"3,874",10.08%,,,,
AL,5,n/a,,,,D,"38,417",,,,,
AL,5,H4AL05025,,Wayne,Parker,R,"18,515",48.80%,"16,031",78.73%,"147,314",47.94%
AL,5,H8AL05133,,Cheryl Baswell,Guthrie,R,"6,942",18.30%,"4,330",21.27%,,
AL,5,H8AL05166,,"Angelo ""Doc""",Mancuso,R,"6,161",16.24%,,,,
AL,5,H8AL05091,,Ray,McKee,R,"3,342",8.81%,,,,
AL,5,H8AL05141,,George C.,Barry,R,"2,274",5.99%,,,,
AL,5,H8AL05158,,Mark,Huff,R,707,1.86%,,,,
AL,5,n/a,,,,R,"37,941",,"20,361",,,
AL,5,n/a,,,Scattered,W,,,,,"1,644",0.54%
AL,5,n/a,,,,,"76,358",,"20,361",,"307,282",
AL,6,H2AL06035,(I),Spencer,Bachus,R,Unopposed,,,,"280,902",97.79%
AL,6,n/a,,,Scattered,W,,,,,"6,335",2.21%
AL,6,n/a,,,,,,,,,"287,237",
AL,7,H0AL07060,(I),Artur,Davis,D,Unopposed,,,,"228,518",98.63%
AL,7,n/a,,,Scattered,W,,,,,"3,183",1.37%
AL,7,n/a,,,,,,,,,"231,701",
AL,H,n/a,,,,,"189,448",,"66,913",,"1,855,268",
AL,S,S6AL00195,(I),Jeff,Sessions,R,"199,690",92.27%,,,"1,305,383",63.36%
AL,S,S8AL00167,,Earl Mack,Gavin,R,"16,718",7.73%,,,,
AL,S,n/a,,,,R,"216,408",,,,,
AL,S,S8AL00282,,Vivian Davis,Figures,D,"112,074",63.72%,,,"752,391",36.52%
AL,S,S0AL00149,,"Johnny, III",Swanson,D,"38,757",22.03%,,,,
AL,S,S8AL00290,,"Mark ""No NCAA""",Townsend,D,"25,058",14.25%,,,,
AL,S,n/a,,,,D,"175,889",,,,,
AL,S,n/a,,,Scattered,W,,,,,"2,417",0.12%
AL,S,n/a,,,,,"392,297",,,,"2,060,191",
AK,0,H6AK00045,(I),Don E.,Young,R,"48,195",45.47%,,,"158,939",50.14%
AK,0,H8AK00124,,Sean R.,Parnell,R,"47,891",45.19%,,,,
AK,0,H8AK00116,,Gabrielle,LeDoux,R,"9,901",9.34%,,,,
AK,0,n/a,,,,R,"105,987",,,,,
AK,0,H8AK00108,,Ethan A.,Berkowitz,D,"39,784",58.39%,,,"142,560",44.97%
AK,0,H6AK00144,,Diane E.,Benson,D,"28,347",41.61%,,,,
AK,0,n/a,,,,D,"68,131",,,,,
AK,0,H6AK00094,,Don R.,Wright,AKI,"6,690",100.00%,,,"14,274",4.50%
AK,0,n/a,,,,AKI,"6,690",,,,,
AK,0,n/a,,,Scattered,W,,,,,"1,205",0.38%
AK,0,n/a,,,,,"180,808",,,,"316,978",
AK,H,n/a,,,,,"180,808",,,,"316,978",
AK,S,S8AK00090,,Mark,Begich,D,"63,747",90.82%,,,"151,767",47.77%
AK,S,S8AK00082,,Ray,Metcalfe,D,"5,480",7.81%,,,,
AK,S,S0AK00097,,Frank J.,Vondersaar,D,965,1.37%,,,,
AK,S,n/a,,,,D,"70,192",,,,,
AK,S,S2AK00010,(I),Ted,Stevens,R,"66,900",63.52%,,,"147,814",46.52%
AK,S,S6AK00078,,David W.,Cuddy,R,"28,364",26.93%,,,,
AK,S,S8AK00124,,Vic,Vickers,R,"6,102",5.79%,,,,
AK,S,S8AK00132,,Michael D.,Corey,R,"1,496",1.42%,,,,
AK,S,S8AK00108,,"Roderic H. ""Rick""",Sikma,R,"1,133",1.08%,,,,
AK,S,S8AK00157,,Rich M.,Wanda,R,732,0.69%,,,,
AK,S,S8AK00140,,"Gerald L. ""Jerry""",Heikes,R,599,0.57%,,,,
AK,S,n/a,,,,R,"105,326",,,,,
AK,S,S0AK00105,,Bob,Bird,AKI,"4,216",100.00%,,,"13,197",4.15%
AK,S,n/a,,,,AKI,"4,216",,,,,
AK,S,S8AK00165,,"Fredrick D. ""David""",Haase,LBT,"1,375",100.00%,,,"2,483",0.78%
AK,S,n/a,,,,LBT,"1,375",,,,,
AK,S,S4AK00115,,Ted,Gianoutsos,NNE,n/a,,,,"1,385",0.44%
AK,S,n/a,,,Scattered,W,,,,,"1,077",0.34%
AK,S,n/a,,,,,"181,109",,,,"317,723",
