STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AZ,,n/a,,,,,,,,,,
AZ,2,H2AZ08094,(I),Ron ,Barber,D,"51,206",82.03%,,,"147,338",50.41%
AZ,2,H2AZ08078,,Matt,Heinz,D,"11,213",17.96%,,,,
AZ,2,H2AZ08128,,Charlie,Manolakis,W(D),4,0.01%,,,,
AZ,2,n/a,,,,D,"62,423",,,,,
AZ,2,H2AZ08102,,Martha ,McSally,R,"52,809",81.70%,,,"144,884",49.57%
AZ,2,H2AZ08110,,Mark,Koskiniemi,R,"11,828",18.30%,,,,
AZ,2,n/a,,,,R,"64,637",,,,,
AZ,2,H2AZ08045,,Anthony,Prowell,W,,,,,57,0.02%
AZ,2,n/a,,,,,"127,060",,,,"292,279",
AZ,,n/a,,,,,,,,,,
AZ,3,H2AZ07070,(I),Ra“l M.,Grijalva,D,"24,044",65.63%,,,"98,468",58.37%
AZ,3,H2AZ03137,,Amanda,Aguirre,D,"9,484",25.89%,,,,
AZ,3,H2AZ03111,,Manny,Arreguin,D,"3,105",8.48%,,,,
AZ,3,n/a,,,,D,"36,633",,,,,
AZ,3,H2AZ07146,,Gabriela,Saucedo Mercer,R,"12,474",65.32%,,,"62,663",37.15%
AZ,3,H2AZ07161,,Jaime,Vasquez,R,"6,622",34.68%,,,,
AZ,3,n/a,,,,R,"19,096",,,,,
AZ,3,H2AZ03145,,Blanca,Guerra,LIB,116,100.00%,,,"7,567",4.49%
AZ,3,n/a,,,,LIB,116,,,,,
AZ,3,n/a,,,,,"55,845",,,,"168,698",
AZ,,n/a,,,,,,,,,,
AZ,4,H0AZ01259,(I),Raul,Gosar,R,"40,033",51.35%,,,"162,907",66.83%
AZ,4,H2AZ04135,,Ron ,Gould,R,"24,617",31.57%,,,,
AZ,4,H4AZ02093,,Rick,Murphy,R,"13,315",17.08%,,,,
AZ,4,n/a,,,,R,"77,965",,,,,
AZ,4,H2AZ04150,,Johnnie,Robinson,D,"10,183",50.05%,,,"69,154",28.37%
AZ,4,H2AZ04143,,Mikel,Weisser,D,"10,164",49.95%,,,,
AZ,4,n/a,,,,D,"20,347",,,,,
AZ,4,H2AZ04176,,Joe,Pamelia,LIB,189,100.00%,,,"9,306",3.82%
AZ,4,n/a,,,,LIB,189,,,,,
AZ,4,H8AZ06012,,Richard,Grayson,W(AE)/AE,11,100.00%,,,"2,393",0.98%
AZ,4,n/a,,,,AE,11,,,,,
AZ,4,n/a,,,,,"98,512",,,,"243,760",
AZ,,n/a,,,,,,,,,,
AZ,5,H4AZ01038,,Matt,Salmon,R,"41,078",51.85%,,,"183,470",67.19%
AZ,5,H2AZ06148,,Kirk,Adams,R,"38,152",48.15%,,,,
AZ,5,n/a,,,,R,"79,230",,,,,
AZ,5,H2AZ05140,,Spencer,Morgan,D,"19,659",100.00%,,,"89,589",32.81%
AZ,5,n/a,,,,D,"19,659",,,,,
AZ,5,n/a,,,,,"98,889",,,,"273,059",
AZ,,n/a,,,,,,,,,,
AZ,6,H4AZ06045,(I),David,Schweikert,R,"41,821",51.48%,,,"179,706",61.30%
AZ,6,H0AZ03362,(I),Ben,Quayle,R,"39,414",48.52%,,,,
AZ,6,n/a,,,,R,"81,235",,,,,
AZ,6,H2AZ06171,,Matt,Jette,D,"12,383",51.91%,,,"97,666",33.31%
