STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL,1,H2AL01077,(I),Jo,Bonner,R,Unopposed,,,,"161,067",63.12%
AL,1,H2AL01119,,Judy,Belk,D,Unopposed,,,,"93,938",36.81%
AL,1,,,,Scattered,W,,,,,159,0.06%
AL,1,,,,,,,,,,"255,164",
AL,2,H2AL02067,(I),Terry,Everett,R,Unopposed,,,,"177,086",71.42%
AL,2,H4AL02063,,Charles D. (Chuck),James,D,Unopposed,,,,"70,562",28.46%
AL,2,,,,Scattered,W,,,,,299,0.12%
AL,2,,,,,,,,,,"247,947",
AL,3,H2AL03032,(I),Mike,Rogers,R,Unopposed,,,,"150,411",61.20%
AL,3,H4AL03046 ,,Bill,Fuller,D,Unopposed,,,,"95,240",38.75%
AL,3,,,,Scattered,W,,,,,133,0.05%
AL,3,,,,,,,,,,"245,784",
AL,4,H6AL04098,(I),Robert,Aderholt,R,Unopposed,,,,"191,110",74.73%
AL,4,H4AL04028,,Carl,Cole,D,Unopposed,,,,"64,278",25.14%
AL,4,,,,Scattered,W,,,,,336,0.13%
AL,4,,,,,,,,,,"255,724",
AL,5,H0AL05049,(I),Bud,Cramer,D,"37,573",89.53%,,,"200,999",72.97%
AL,5,H2AL05078,,"Michael ""People First""",Williams,D,"4,393",10.47%,,,,
AL,5,,,,,D,"41,966",,,,,
AL,5,H4AL05066,,Gerald (Gerry),Wallace,R,"6,742",45.18%,"2,371",52.68%,"74,145",26.92%
AL,5,H2AL05060,,Stephen P.,Engel,R,"6,007",40.25%,"2,130",47.32%,,
AL,5,H4AL05058,,Nate,Bailie,R,"2,175",14.57%,,,,
AL,5,,,,,R,"14,924",,"4,501",,,
AL,5,,,,Scattered,W,,,,,315,0.11%
AL,5,,,,,,"56,890",,"4,501",,"275,459",
AL,6,H2AL06035,(I),Spencer,Bachus,R,"45,448",86.65%,,,"264,819",98.80%
AL,6,H4AL06064,,Phillip,Jauregui,R,"7,000",13.35%,,,,
AL,6,,,,,R,"52,448",,,,,
AL,6,,,,Scattered,W,,,,,"3,224",1.20%
AL,6,,,,,,"52,448",,,,"268,043",
AL,7,H0AL07060,(I),Artur,Davis,D,"58,193",87.83%,,,"183,408",74.97%
AL,7,H4AL07054,,Albert,Turner,D,"8,061",12.17%,,,,
AL,7,,,,,D,"66,254",,,,,
AL,7,H4AL07062,,Steve F.,Cameron,R,Unopposed,,,,"61,019",24.94%
AL,7,,,,Scattered,W,,,,,211,0.09%
AL,7,,,,,,"66,254",,,,"244,638",
AL,H,,,,,,"175,592",,"4,501",,"1,792,759",
AL,S,S6AL00013,(I),Richard,Shelby,R,Unopposed,,,,"1,242,200",67.55%
AL,S,S2AL00087,,Wayne ,Sowell,D,Unopposed,,,,"595,018",32.35%
AL,S,,,,Scattered,W,,,,,"1,848",0.10%
AL,S,,,,,,n/a,,,,"1,839,066",
AL,,,,,,,"175,592",,"4,501",,"3,631,825",
AK,0,H4AK00065,(I),Don E.,Young,R,"70,142",100.00%,,,"213,216",71.07%
AK,0,,,,,R,"70,142",,,,,
AK,0,H4AK00081,,Thomas M.,Higgins,D,"14,109",47.64%,,,"67,074",22.36%
AK,0,H4AK00057,,Frank,Vondersaar,D,"9,025",30.48%,,,,
AK,0,H0AK00063,,Dae,Miles,D,"6,479",21.88%,,,,
AK,0,,,,,D,"29,613",,,,,
AK,0,H4AK00099,,Timothy A.,Feller,GRN,"7,490",100.00%,,,"11,434",3.81%
AK,0,,,,,GRN,"7,490",,,,,
AK,0,H6AK00045,,Alvin A.,Anders,LBT,"4,147",100.00%,,,"7,157",2.39%
AK,0,,,,,LBT,"4,147",,,,,
AK,0,,,,Scattered,W,,,,,"1,115",0.37%
AK,0,,,,,,"111,392",,,,"299,996",
AK,H,,,,,,"111,392",,,,"299,996",
