letter	frequency
0-0.1	0.527156549521
0.1-0.2	0.127795527157
0.2-0.3	0.105431309904
0.3-0.4	0.0798722044728
0.4-0.5	0.0862619808307
0.5-0.6	0.0479233226837
0.6-0.7	0.0159744408946
0.7-0.8	0.00958466453674
0.8-0.9	0
0.9-1.0	0
0.9-1.0	0
 	0
