letter	frequency
0~0.1	0.2527
0.1~0.2	0.0608
0.2~0.3	0.0442
0.3~0.4	0.0548
0.4~0.5	0.0504
0.5~0.6	0.0469
0.6~0.7	0.0436
0.7~0.8	0.0365
0.8~0.9	0.0540
0.9~1	0.3562
 	0
