Date,Open,High,Low,Close,Volume,Adjusted Close
2014-07-03,1615.06,1625.21,1615.06,1623.9,0.0,1623.9
2014-07-02,1609.11,1615.18,1607.65,1611.47,0.0,1611.47
2014-07-01,1602.62,1613.47,1602.38,1609.11,0.0,1609.11
2014-06-30,1595.42,1599.1,1589.49,1597.84,0.0,1597.84
2014-06-27,1586.61,1593.88,1583.06,1593.82,0.0,1593.82
2014-06-26,1590.21,1593.74,1579.6,1590.42,0.0,1590.42
2014-06-25,1577.1,1591.77,1576.47,1590.21,0.0,1590.21
2014-06-24,1591.93,1599.63,1578.36,1579.46,0.0,1579.46
2014-06-23,1597.03,1598.11,1592.97,1594.78,0.0,1594.78
2014-06-20,1592.41,1595.87,1590.84,1595.2,0.0,1595.2
2014-06-19,1589.09,1592.01,1584.25,1589.54,0.0,1589.54
2014-06-18,1576.44,1589.77,1571.4,1588.12,0.0,1588.12
2014-06-17,1568.42,1577.39,1562.47,1575.76,0.0,1575.76
2014-06-16,1568.33,1573.79,1563.17,1569.97,0.0,1569.97
2014-06-13,1558.97,1571.17,1558.97,1569.25,0.0,1569.25
2014-06-12,1575.82,1575.82,1553.52,1557.42,0.0,1557.42
2014-06-11,1583.26,1583.89,1575.41,1578.27,0.0,1578.27
2014-06-10,1591.08,1591.08,1581.6,1589.25,0.0,1589.25
2014-06-09,1587.49,1600.27,1585.98,1592.1,0.0,1592.1
2014-06-06,1574.72,1589.36,1574.37,1589.18,0.0,1589.18
2014-06-05,1564.14,1577.7,1558.09,1573.38,0.0,1573.38
2014-06-04,1555.62,1565.3,1549.66,1562.81,0.0,1562.81
2014-06-03,1551.14,1557.95,1549.42,1555.62,0.0,1555.62
2014-06-02,1554.11,1555.89,1545.7,1554.11,0.0,1554.11
2014-05-30,1548.78,1552.94,1545.03,1552.05,0.0,1552.05
2014-05-29,1543.9,1552.37,1538.44,1552.05,0.0,1552.05
2014-05-28,1538.54,1543.74,1536.02,1541.17,0.0,1541.17
2014-05-27,1537.93,1544.05,1535.62,1537.64,0.0,1537.64
2014-05-23,1518.43,1536.14,1518.43,1535.53,0.0,1535.53
2014-05-22,1513.62,1522.67,1511.23,1517.09,0.0,1517.09
2014-05-21,1509.83,1517.72,1507.0,1514.46,0.0,1514.46
2014-05-20,1507.41,1507.41,1507.41,1507.41,0.0,1507.41
2014-05-19,1514.04,1527.97,1513.57,1527.22,0.0,1527.22
2014-05-16,1512.15,1518.39,1504.21,1517.1,0.0,1517.1
2014-05-15,1523.78,1523.78,1500.12,1512.15,0.0,1512.15
2014-05-14,1544.08,1544.08,1525.8,1527.22,0.0,1527.22
2014-05-13,1544.8,1547.94,1541.26,1544.23,0.0,1544.23
2014-05-12,1517.42,1544.23,1517.42,1543.31,0.0,1543.31
2014-05-09,1513.76,1517.66,1506.59,1517.42,0.0,1517.42
2014-05-08,1516.59,1530.22,1510.22,1515.95,0.0,1515.95
2014-05-07,1506.38,1516.6,1498.32,1516.59,0.0,1516.59
2014-05-06,1515.55,1517.2,1503.7,1503.79,0.0,1503.79
2014-05-05,1516.95,1520.76,1508.29,1518.28,0.0,1518.28
2014-05-02,1521.58,1533.42,1520.9,1523.36,0.0,1523.36
2014-05-01,1520.46,1529.3,1516.87,1521.18,0.0,1521.18
2014-04-30,1516.53,1525.08,1512.73,1523.37,0.0,1523.37
2014-04-29,1513.37,1518.69,1507.69,1517.51,0.0,1517.51
2014-04-28,1520.18,1524.2,1498.44,1513.9,0.0,1513.9
