"rules","support","confidence","lift"
"1","{PARTY=I} => {CANDTOTALLEVEL=Very Low}",0.0269662921348315,0.989847715736041,2.55934076854071
"2","{PARTY=I} => {WINNER=0}",0.0270354364736387,0.99238578680203,2.40811735597724
"3","{PARTY=I} => {INCUMBENT=0}",0.0272428694900605,1,2.10792887334208
"4","{VOTESLEVEL=High} => {WINNER=1}",0.149697493517718,0.96911369740376,1.64843361937099
"5","{WINNER=0} => {INCUMBENT=0}",0.391771823681936,0.950671140939597,2.00394714703963
"6","{INCUMBENT=1} => {WINNER=1}",0.505272255834054,0.961323423008617,1.63518259397379
"7","{PRIMARY.INDUSTRY=,CANDTOTALLEVEL=Very Low} => {WINNER=0}",0.0101296456352636,0.951298701298701,2.30841568247189
"8","{PRIMARY.INDUSTRY=,CANDTOTALLEVEL=Very Low} => {INCUMBENT=0}",0.0102679343128781,0.964285714285714,2.03264569929415
"9","{PRIMARY.INDUSTRY=,WINNER=0} => {INCUMBENT=0}",0.0111322385479689,1,2.10792887334208
"10","{INCUMBENT=0,PRIMARY.INDUSTRY=} => {WINNER=0}",0.0111322385479689,0.952662721893491,2.31172560660816
"11","{STATE=MO,INCUMBENT=1} => {WINNER=1}",0.0109593777009507,1,1.7009703028521
"12","{STATE=TN,INCUMBENT=1} => {WINNER=1}",0.0128608470181504,0.978947368421053,1.66516040173943
"13","{STATE=WA,WINNER=0} => {INCUMBENT=0}",0.010371650821089,1,2.10792887334208
"14","{STATE=WA,INCUMBENT=1} => {WINNER=1}",0.011028522039758,1,1.7009703028521
"15","{PARTY=I,VOTESLEVEL=Very Low} => {CANDTOTALLEVEL=Very Low}",0.0235090751944685,0.988372093023256,2.55552541259477
"16","{PARTY=I,VOTESLEVEL=Very Low} => {WINNER=0}",0.0237856525496975,1,2.42659395973154
"17","{PARTY=I,VOTESLEVEL=Very Low} => {INCUMBENT=0}",0.0237856525496975,1,2.10792887334208
"18","{PARTY=I,CANDTOTALLEVEL=Very Low} => {WINNER=0}",0.0267588591184097,0.992307692307692,2.40792785234899
"19","{PARTY=I,WINNER=0} => {CANDTOTALLEVEL=Very Low}",0.0267588591184097,0.989769820971867,2.5591393645849
"20","{PARTY=I,CANDTOTALLEVEL=Very Low} => {INCUMBENT=0}",0.0269662921348315,1,2.10792887334208
"21","{PARTY=I,INCUMBENT=0} => {CANDTOTALLEVEL=Very Low}",0.0269662921348315,0.989847715736041,2.55934076854071
"22","{PARTY=I,WINNER=0} => {INCUMBENT=0}",0.0270354364736387,1,2.10792887334208
"23","{PARTY=I,INCUMBENT=0} => {WINNER=0}",0.0270354364736387,0.99238578680203,2.40811735597724
"24","{STATE=NJ,WINNER=0} => {INCUMBENT=0}",0.0124459809853068,1,2.10792887334208
"25","{STATE=NJ,INCUMBENT=1} => {WINNER=1}",0.0139671564390666,1,1.7009703028521
"26","{STATE=GA,INCUMBENT=1} => {WINNER=1}",0.0156957649092481,0.968017057569296,1.64656826757965
"27","{PRIMARY.INDUSTRY=Telecommunication Services,CANDTOTALLEVEL=Mid-Low} => {WINNER=1}",0.0126534140017286,0.960629921259842,1.63400296809415
"28","{INCUMBENT=1,PRIMARY.INDUSTRY=Telecommunication Services} => {WINNER=1}",0.0216767502160761,0.985849056603774,1.67689996837778
"29","{INCUMBENT=1,indrank=9} => {WINNER=1}",0.0199827139152982,0.982993197278912,1.67204223647707
"30","{STATE=MI,WINNER=0} => {INCUMBENT=0}",0.0106136560069144,0.974603174603175,2.05439417179688
"31","{STATE=MI,INCUMBENT=1} => {WINNER=1}",0.0175280898876405,0.984466019417476,1.67454746319615
"32","{STATE=NC,INCUMBENT=1} => {WINNER=1}",0.0161797752808989,0.951219512195122,1.61799614173737
"33","{STATE=OH,INCUMBENT=1} => {WINNER=1}",0.0192912705272256,0.957118353344768,1.62802989535416
"34","{PRIMARY.INDUSTRY=Utilities,VOTESLEVEL=High} => {INCUMBENT=1}",0.010371650821089,0.961538461538462,1.82940866934158
"35","{PRIMARY.INDUSTRY=Utilities,VOTESLEVEL=High} => {WINNER=1}",0.010751944684529,0.996794871794872,1.69551847495835
"36","{PRIMARY.INDUSTRY=Utilities,VOTESLEVEL=Mid-High} => {WINNER=1}",0.016732929991357,0.952755905511811,1.62060950114255
"37","{PRIMARY.INDUSTRY=Utilities,CANDTOTALLEVEL=Mid-Low} => {WINNER=1}",0.0199481417458946,0.961666666666667,1.63576644124277
"38","{INCUMBENT=1,PRIMARY.INDUSTRY=Utilities} => {WINNER=1}",0.0359550561797753,0.959409594095941,1.63192722782859
"39","{STATE=FL,VOTESLEVEL=High} => {WINNER=1}",0.0120656871218669,1,1.7009703028521
"40","{STATE=FL,WINNER=0} => {INCUMBENT=0}",0.0212618841832325,0.962441314553991,2.02875783584566
"41","{STATE=FL,INCUMBENT=1} => {WINNER=1}",0.0256179775280899,0.968627450980392,1.64760652864498
"42","{STATE=NY,INCUMBENT=1} => {WINNER=1}",0.0281417458945549,0.957647058823529,1.62892920767248
"43","{indrank=8,VOTESLEVEL=High} => {WINNER=1}",0.0111668107173725,0.97583081570997,1.6598592381306
"44","{INCUMBENT=1,indrank=8} => {WINNER=1}",0.0372342264477096,0.97289972899729,1.65487354667725
"45","{PRIMARY.INDUSTRY=Health Care,VOTESLEVEL=High} => {WINNER=1}",0.0117199654278306,0.97134670487106,1.65223189875892
"46","{INCUMBENT=1,PRIMARY.INDUSTRY=Health Care} => {WINNER=1}",0.0398617113223855,0.966471081307628,1.64393860786963
"47","{PRIMARY.INDUSTRY=Materials,WINNER=0} => {INCUMBENT=0}",0.0391011235955056,0.975841242450388,2.05700393075918
"48","{INCUMBENT=1,PRIMARY.INDUSTRY=Materials} => {WINNER=1}",0.0272428694900605,0.965686274509804,1.64260367481306
"49","{STATE=TX,VOTESLEVEL=Mid-High} => {WINNER=1}",0.0185306828003457,0.96229802513465,1.63684036324727
