"rules","support","confidence","lift"
"61","{indrank=5} => {PARTY=R}",0.0657291452815986,0.52087852494577,0.963859425735411
"62","{indrank=5} => {WINNER=1}",0.0768493806884281,0.609002169197397,1.01998265885175
"63","{PRIMARY.INDUSTRY=Consumer Discretionary} => {WINNER=0}",0.0532744816259495,0.416198877305533,1.03293379654649
"64","{PRIMARY.INDUSTRY=Consumer Discretionary} => {CANDTOTALLEVEL=Very Low}",0.0523848627934031,0.409248863940123,0.98280257169384
"65","{PRIMARY.INDUSTRY=Consumer Discretionary} => {VOTEPERCENTLEVEL=Mid-High}",0.0536508588243345,0.419139267575515,0.973516985946276
"66","{PRIMARY.INDUSTRY=Consumer Discretionary} => {PARTY=D}",0.0622391021693013,0.48623362737236,1.07339406251111
"67","{PRIMARY.INDUSTRY=Consumer Discretionary} => {INCUMBENT=0}",0.0620338055156368,0.484629778134189,1.04084287887638
"68","{PRIMARY.INDUSTRY=Consumer Discretionary} => {INCUMBENT=1}",0.0659686580442072,0.515370221865811,0.96441350392177
"69","{PRIMARY.INDUSTRY=Consumer Discretionary} => {PARTY=R}",0.0649079586669404,0.507083667468591,0.93833273809276
"70","{PRIMARY.INDUSTRY=Consumer Discretionary} => {WINNER=1}",0.0747279819338945,0.583801122694467,0.977774877470973
"71","{indrank=4} => {WINNER=0}",0.0562170669951413,0.417428861788618,1.03598640579434
"72","{indrank=4} => {CANDTOTALLEVEL=Very Low}",0.0552590159447068,0.410315040650407,0.985362972723811
"73","{indrank=4} => {VOTEPERCENTLEVEL=Mid-High}",0.0559091220146445,0.415142276422764,0.964233344252699
"74","{indrank=4} => {PARTY=D}",0.0661055224799836,0.490853658536585,1.0835930979976
"75","{indrank=4} => {INCUMBENT=0}",0.0651816875384931,0.483993902439024,1.03947720404783
"76","{indrank=4} => {INCUMBENT=1}",0.0694929172654486,0.516006097560976,0.965603419600274
"77","{indrank=4} => {PARTY=R}",0.0676794634914118,0.502540650406504,0.929926114270007
"78","{indrank=4} => {WINNER=1}",0.0784575378088004,0.582571138211382,0.975714847298903
"79","{PRIMARY.INDUSTRY=Not publicly traded} => {indrank=2}",0.0711010743858208,0.515249194148277,3.58454485793324
"80","{indrank=2} => {PRIMARY.INDUSTRY=Not publicly traded}",0.0711010743858208,0.494644132349441,3.58454485793324
"81","{PRIMARY.INDUSTRY=Not publicly traded} => {WINNER=0}",0.0593649490179977,0.43020084304488,1.06768425941149
"82","{PRIMARY.INDUSTRY=Not publicly traded} => {CANDTOTALLEVEL=Very Low}",0.0583384657496749,0.422762211753037,1.01525459331917
"83","{PRIMARY.INDUSTRY=Not publicly traded} => {VOTEPERCENTLEVEL=Mid-High}",0.0560459864504209,0.40614926853459,0.943345666549465
"84","{PRIMARY.INDUSTRY=Not publicly traded} => {PARTY=D}",0.068534866215014,0.496652615918671,1.09639469392243
"85","{PRIMARY.INDUSTRY=Not publicly traded} => {INCUMBENT=0}",0.0684322178881818,0.495908752789487,1.06506681430229
"86","{PRIMARY.INDUSTRY=Not publicly traded} => {INCUMBENT=1}",0.0695613494833368,0.504091247210513,0.943307132217599
"87","{PRIMARY.INDUSTRY=Not publicly traded} => {PARTY=R}",0.0686032984329022,0.49714852467146,0.91994825769584
"88","{PRIMARY.INDUSTRY=Not publicly traded} => {WINNER=1}",0.0786286183535208,0.56979915695512,0.95432379147108
"89","{indrank=3} => {VOTEPERCENTLEVEL=Mid-Low}",0.0501950318209813,0.360265225933202,1.06883681789907
"90","{indrank=3} => {WINNER=0}",0.0607335933757613,0.43590373280943,1.08183784774868
"91","{indrank=3} => {CANDTOTALLEVEL=Very Low}",0.0596386778895504,0.428045186640472,1.0279415468163
"92","{indrank=3} => {VOTEPERCENTLEVEL=Mid-High}",0.0560459864504209,0.402259332023576,0.934310676128191
"93","{indrank=3} => {PARTY=D}",0.0689796756312872,0.495088408644401,1.09294159914202
"94","{indrank=3} => {INCUMBENT=0}",0.0698008622459454,0.50098231827112,1.07596334757435
"95","{indrank=3} => {INCUMBENT=1}",0.0695271333743927,0.49901768172888,0.933812957242173
"96","{indrank=3} => {PARTY=R}",0.0693560528296722,0.49778978388998,0.92113487552036
"97","{indrank=3} => {WINNER=1}",0.0785944022445767,0.56409626719057,0.944772349851667
"98","{indrank=2} => {VOTEPERCENTLEVEL=Mid-Low}",0.0520769178129063,0.362294691740062,1.07485784801493
"99","{indrank=2} => {WINNER=0}",0.0651132553206049,0.452987383956201,1.12423652203668
"100","{indrank=2} => {CANDTOTALLEVEL=Very Low}",0.0640867720522822,0.445846227088788,1.07069037246483
"101","{indrank=2} => {VOTEPERCENTLEVEL=Mid-High}",0.0560459864504209,0.389907164960724,0.905620821993333
"102","{indrank=2} => {PARTY=D}",0.071545883802094,0.497738633658653,1.09879215252721
"103","{indrank=2} => {INCUMBENT=0}",0.074180524190789,0.516067602951678,1.10836212256509
"104","{indrank=2} => {INCUMBENT=1}",0.0695613494833368,0.483932397048322,0.905583828667835
"105","{indrank=2} => {PARTY=R}",0.0710668582768768,0.494406093787194,0.914873527733603
"106","{indrank=2} => {WINNER=1}",0.0786286183535208,0.547012616043799,0.916159926446766
"107","{PRIMARY.INDUSTRY=Not for profit} => {indrank=1}",0.109628413056867,0.742698191933241,4.98189060303899
"108","{indrank=1} => {PRIMARY.INDUSTRY=Not for profit}",0.109628413056867,0.735368372733532,4.98189060303899
"109","{PRIMARY.INDUSTRY=Not for profit} => {VOTEPERCENTLEVEL=Mid-Low}",0.0531376171901731,0.359990727862772,1.0680224355413
"110","{PRIMARY.INDUSTRY=Not for profit} => {WINNER=0}",0.0690823239581195,0.468011126564673,1.1615228587788
"111","{PRIMARY.INDUSTRY=Not for profit} => {CANDTOTALLEVEL=Very Low}",0.0679189762540204,0.460129809921187,1.10499209735058
"112","{PRIMARY.INDUSTRY=Not for profit} => {VOTEPERCENTLEVEL=Mid-High}",0.0560117703414768,0.379462216040797,0.881360782484967
"113","{PRIMARY.INDUSTRY=Not for profit} => {PARTY=D}",0.0743516047355095,0.503708854891052,1.11197182514132
"114","{PRIMARY.INDUSTRY=Not for profit} => {INCUMBENT=0}",0.0781495928283036,0.529439035697728,1.13708004536315
"115","{PRIMARY.INDUSTRY=Not for profit} => {INCUMBENT=1}",0.0694587011565045,0.470560964302272,0.88056183523487
"116","{PRIMARY.INDUSTRY=Not for profit} => {PARTY=R}",0.071922261000479,0.487250811312007,0.901633038584572
"117","{PRIMARY.INDUSTRY=Not for profit} => {WINNER=1}",0.0785259700266886,0.531988873435327,0.890997525216095
"118","{indrank=1} => {VOTEPERCENTLEVEL=Mid-Low}",0.0536508588243345,0.35988065182465,1.06769586135694
"119","{indrank=1} => {WINNER=0}",0.0704851844248272,0.472802386963507,1.17341394033589
"120","{indrank=1} => {CANDTOTALLEVEL=Very Low}",0.0693560528296722,0.465228368143218,1.11723617808987
"121","{indrank=1} => {VOTEPERCENTLEVEL=Mid-High}",0.0560459864504209,0.375946752352536,0.873195564194168
"122","{indrank=1} => {PARTY=D}",0.0747964141517827,0.501721367913702,1.10758431140161
"123","{indrank=1} => {INCUMBENT=0}",0.0795524532950113,0.533624053247648,1.14606823781715
"124","{indrank=1} => {INCUMBENT=1}",0.0695271333743927,0.466375946752353,0.872730402086327
"125","{indrank=1} => {PARTY=R}",0.0729487442688018,0.489327518935047,0.90547588124577
"126","{indrank=1} => {WINNER=1}",0.0785944022445767,0.527197613036493,0.882972919117739
"127","{CANDTOTALLEVEL=Mid-High} => {VOTEPERCENTLEVEL=Mid-High}",0.0941627318141381,0.592082616179002,1.37520516096698
"128","{VOTEPERCENTLEVEL=Mid-High} => {CANDTOTALLEVEL=Mid-High}",0.0941627318141381,0.218707780338552,1.37520516096698
"129","{CANDTOTALLEVEL=Mid-High} => {PARTY=D}",0.071922261000479,0.45223752151463,0.99834532848301
"130","{CANDTOTALLEVEL=Mid-High} => {INCUMBENT=1}",0.111510299048792,0.701161790017212,1.31208570079671
"131","{INCUMBENT=1} => {CANDTOTALLEVEL=Mid-High}",0.111510299048792,0.2086694839288,1.31208570079671
"132","{CANDTOTALLEVEL=Mid-High} => {PARTY=R}",0.0868404845001026,0.546041308089501,1.01042188617347
"133","{CANDTOTALLEVEL=Mid-High} => {WINNER=1}",0.125333607062205,0.788080895008606,1.31991130300983
"134","{WINNER=1} => {CANDTOTALLEVEL=Mid-High}",0.125333607062205,0.209914040114613,1.31991130300983
"135","{YEAR=2006} => {VOTEPERCENTLEVEL=Mid-Low}",0.0522822144665709,0.325938566552901,0.966996299469606
"136","{YEAR=2006} => {CANDTOTALLEVEL=Mid-Low}",0.0591596523643331,0.368813993174061,1.04427027363933
"137","{YEAR=2006} => {WINNER=0}",0.0644631492506672,0.401877133105802,0.997389698721991
"138","{YEAR=2006} => {CANDTOTALLEVEL=Very Low}",0.0709642099500445,0.44240614334471,1.06242908343406
"139","{YEAR=2006} => {VOTEPERCENTLEVEL=Mid-High}",0.0693218367207281,0.432167235494881,1.00377649404541
"140","{YEAR=2006} => {PARTY=D}",0.0791418599876822,0.493387372013652,1.08918644417788
"141","{YEAR=2006} => {INCUMBENT=0}",0.0707246971874358,0.440912969283276,0.946951972389259
"142","{YEAR=2006} => {INCUMBENT=1}",0.0896804215424622,0.559087030716723,1.04622087077263
"143","{YEAR=2006} => {PARTY=R}",0.0801683432560049,0.499786689419795,0.924830048435034
"144","{YEAR=2006} => {WINNER=1}",0.0959419694792308,0.598122866894198,1.00176154199712
"145","{YEAR=2008} => {VOTEPERCENTLEVEL=Mid-Low}",0.0568329569561349,0.353028692879915,1.04736743255592
"146","{YEAR=2008} => {CANDTOTALLEVEL=Mid-Low}",0.0594675973448299,0.369394261424017,1.0459132614201
"147","{YEAR=2008} => {WINNER=0}",0.0652159036474372,0.40510095642933,1.00539067192626
"148","{YEAR=2008} => {CANDTOTALLEVEL=Very Low}",0.0616916444261959,0.383209351753454,0.920269228787711
"149","{YEAR=2008} => {VOTEPERCENTLEVEL=Mid-High}",0.0681927051255731,0.423591923485654,0.983858980830622
"150","{YEAR=2008} => {PARTY=D}",0.0759597618558818,0.471838469713071,1.04161576522654
"151","{YEAR=2008} => {INCUMBENT=0}",0.0740094436460686,0.459723698193411,0.987351910890699
"152","{YEAR=2008} => {INCUMBENT=1}",0.086977348935879,0.540276301806589,1.0110203096811
"153","{YEAR=2008} => {PARTY=R}",0.0835557380414699,0.519022316684378,0.960424606016059
"154","{YEAR=2008} => {WINNER=1}",0.0957708889345104,0.594899043570669,0.996362145982601
"155","{YEAR=2004} => {CANDTOTALLEVEL=Mid-Low}",0.0532060494080613,0.32723063973064,0.92653000162446
"156","{YEAR=2004} => {WINNER=0}",0.0622391021693013,0.382786195286195,0.950009285278052
"157","{YEAR=2004} => {CANDTOTALLEVEL=Very Low}",0.0820502292479299,0.50462962962963,1.21185748196841
"158","{YEAR=2004} => {VOTEPERCENTLEVEL=Mid-High}",0.077191541777869,0.474747474747475,1.10267580838987
"159","{YEAR=2004} => {PARTY=D}",0.0718538287825908,0.441919191919192,0.975566908605658
"160","{YEAR=2004} => {INCUMBENT=0}",0.0706562649695477,0.434553872053872,0.933294493286777
"161","{YEAR=2004} => {INCUMBENT=1}",0.0919386847327722,0.565446127946128,1.05812066432024
"162","{YEAR=2004} => {PARTY=R}",0.0904331759392322,0.556186868686869,1.02919573409158
"163","{YEAR=2004} => {WINNER=1}",0.100355847533019,0.617213804713805,1.03373585424445
"164","{YEAR=2014} => {VOTEPERCENTLEVEL=Mid-Low}",0.05344556217067,0.325552313463943,0.965850361719339
"165","{YEAR=2014} => {CANDTOTALLEVEL=Mid-Low}",0.0570382536097995,0.347436431846603,0.983741247543966
"166","{YEAR=2014} => {WINNER=0}",0.0635393143091768,0.387036265110463,0.960557225213857
"167","{YEAR=2014} => {CANDTOTALLEVEL=Very Low}",0.0652501197563813,0.39745727386411,0.95448531519741
"168","{YEAR=2014} => {VOTEPERCENTLEVEL=Mid-High}",0.0736330664476836,0.448520216756982,1.04175886950167
"169","{YEAR=2014} => {PARTY=D}",0.0747621980428386,0.455398082534389,1.0053224835826
"170","{YEAR=2014} => {INCUMBENT=0}",0.0748648463696708,0.456023343059608,0.979404631412413
"171","{YEAR=2014} => {INCUMBENT=1}",0.0893040443440772,0.543976656940392,1.01794479291458
"172","{YEAR=2014} => {PARTY=R}",0.0879353999863136,0.535639849937474,0.991174512743612
"173","{YEAR=2014} => {WINNER=1}",0.100629576404571,0.612963734889537,1.02661765707058
"174","{YEAR=2012} => {VOTEPERCENTLEVEL=Mid-Low}",0.0609731061383699,0.353431178103927,1.04856152789213
"175","{YEAR=2012} => {CANDTOTALLEVEL=Mid-Low}",0.0603572161773763,0.349861166203887,0.990606708338966
"176","{YEAR=2012} => {WINNER=0}",0.0712379388215972,0.412931376437921,1.02482442321456
"177","{YEAR=2012} => {CANDTOTALLEVEL=Very Low}",0.0655580647368781,0.380007933359778,0.912581089595141
"178","{YEAR=2012} => {VOTEPERCENTLEVEL=Mid-High}",0.0718538287825908,0.416501388337961,0.967390095809048
"179","{YEAR=2012} => {PARTY=D}",0.0741463080818449,0.429789765965887,0.948790369372234
"180","{YEAR=2012} => {INCUMBENT=0}",0.0844111407650722,0.489289964299881,1.05085159440243
"181","{YEAR=2012} => {INCUMBENT=1}",0.088106480531034,0.510710035700119,0.955692886628997
"182","{YEAR=2012} => {PARTY=R}",0.0964894272223363,0.559301864339548,1.03495987635733
"183","{YEAR=2012} => {WINNER=1}",0.101279682474509,0.587068623562079,0.983247426488556
"184","{YEAR=2010} => {VOTEPERCENTLEVEL=Mid-Low}",0.0698350783548895,0.389429498187369,1.15536153832342
"185","{VOTEPERCENTLEVEL=Mid-Low} => {YEAR=2010}",0.0698350783548895,0.207187087605319,1.15536153832342
"186","{YEAR=2010} => {CANDTOTALLEVEL=Mid-Low}",0.0639499076165058,0.35661133371494,1.00971932175478
"187","{YEAR=2010} => {WINNER=0}",0.0762334907274345,0.425109711887044,1.05504895037456
"188","{YEAR=2010} => {CANDTOTALLEVEL=Very Low}",0.0708957777321563,0.395344399923679,0.949411292700857
"189","{YEAR=2010} => {VOTEPERCENTLEVEL=Mid-High}",0.0703483199890508,0.392291547414616,0.911158925911114
"190","{YEAR=2010} => {PARTY=D}",0.0771231095599808,0.430070597214272,0.949410323603317
"191","{YEAR=2010} => {INCUMBENT=0}",0.0909464175733936,0.507155123068117,1.08922072507266
"192","{YEAR=2010} => {INCUMBENT=1}",0.0883802094025867,0.492844876931883,0.922261773159894
"193","{YEAR=2010} => {PARTY=R}",0.101827140217614,0.567830566685747,1.05074180967188
"194","{YEAR=2010} => {WINNER=1}",0.103093136248546,0.574890288112956,0.962850633833194
