KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AZ|2|John|Thrasher|2006,AZ,2,H6AZ02155,False,John,Thrasher,DEM,2006,11521,0.46740000000000004,,,89671,0.3889
AZ|2|Gene|Scharer|2006,AZ,2,H0AZ03248,False,Gene,Scharer,DEM,2006,8462,0.3433,,,,
"AZ|2|Suchindran ""Chat""|Chatterjee|2006",AZ,2,H6AZ02163,False,"Suchindran ""Chat""",Chatterjee,DEM,2006,4667,0.1893,,,,
AZ|2|Powell|Gammill|2006,AZ,2,H4AZ02119,False,Powell,Gammill,LBT,2006,494,1.0,,,5734,0.024900000000000002
AZ|2|William|Crum|2006,AZ,2,H6AZ00027,False,William,Crum,W,2006,,,,,5,0.0
AZ|3|John|Shadegg|2006,AZ,3,H4AZ04016,True,John,Shadegg,REP,2006,35763,1.0,,,112519,0.5927
AZ|3|Herb|Paine|2006,AZ,3,H6AZ03146,False,Herb,Paine,DEM,2006,7902,0.5042,,,72586,0.3823
AZ|3|Don|Chilton|2006,AZ,3,H6AZ03153,False,Don,Chilton,DEM,2006,7759,0.4951,,,,
AZ|3|Jim|McCoy|2006,AZ,3,H6AZ03161,False,Jim,McCoy,W(DEM),2006,12,0.0008,,,,
AZ|3|Mark|Yannone|2006,AZ,3,H4AZ04073,False,Mark,Yannone,LBT,2006,322,1.0,,,4744,0.025
AZ|4|Ed|Pastor|2006,AZ,4,H2AZ02055,True,Ed,Pastor,DEM,2006,14833,1.0,,,56464,0.7252
AZ|4|Don|Karg|2006,AZ,4,H2AZ04101,False,Don,Karg,REP,2006,7175,1.0,,,18627,0.23920000000000002
AZ|4|Ronald|Harders|2006,AZ,4,H6AZ04169,False,Ronald,Harders,W(LBT)/LBT,2006,12,1.0,,,2770,0.0356
AZ|5|Harry|Mitchell|2006,AZ,5,H6AZ05067,False,Harry,Mitchell,DEM,2006,20852,1.0,,,101838,0.5041
AZ|5|J.D.|Hayworth|2006,AZ,5,H4AZ06052,True,J.D.,Hayworth,REP,2006,38275,1.0,,,93815,0.4644
AZ|5|Warren|Severin|2006,AZ,5,H2AZ05124,False,Warren,Severin,LBT,2006,387,1.0,,,6357,0.0315
AZ|6|Jeff|Flake|2006,AZ,6,H0AZ01184,True,Jeff,Flake,REP,2006,43199,1.0,,,152201,0.748
AZ|6|Jason M.|Blair|2006,AZ,6,H6AZ06040,False,Jason M.,Blair,W(LBT)/LBT,2006,19,1.0,,,51285,0.252
AZ|7|Raul|Grijalva|2006,AZ,7,H2AZ07070,True,Raul,Grijalva,DEM,2006,26604,1.0,,,80354,0.6109
AZ|7|Ron|Drake|2006,AZ,7,H6AZ07014,False,Ron,Drake,REP,2006,10022,0.6042000000000001,,,46498,0.35350000000000004
AZ|7|Joseph|Sweeney|2006,AZ,7,H4AZ02010,False,Joseph,Sweeney,REP,2006,6565,0.3958,,,,
AZ|7|Joe|Cobb|2006,AZ,7,H6AZ07022,False,Joe,Cobb,W(LBT)/LBT,2006,13,1.0,,,4673,0.0355
AZ|8|Gabrielle|Giffords|2006,AZ,8,H6AZ08038,False,Gabrielle,Giffords,DEM,2006,33375,0.5435,,,137655,0.5425
AZ|8|Patty|Weiss|2006,AZ,8,H6AZ08061,False,Patty,Weiss,DEM,2006,19148,0.3118,,,,
"AZ|8|Jeffrey Lynn ""Jeff""|Latas|2006",AZ,8,H6AZ08020,False,"Jeffrey Lynn ""Jeff""",Latas,DEM,2006,3687,0.06,,,,
AZ|8|Alex|Rodriguez|2006,AZ,8,H6AZ08095,False,Alex,Rodriguez,DEM,2006,2855,0.04650000000000001,,,,
"AZ|8|William ""Bill""|Johnson|2006",AZ,8,H6AZ08111,False,"William ""Bill""",Johnson,DEM,2006,1768,0.0288,,,,
AZ|8|Francine|Shacter|2006,AZ,8,H6AZ08046,False,Francine,Shacter,DEM,2006,576,0.009399999999999999,,,,
AZ|8|Randy|Graf|2006,AZ,8,H4AZ08017,False,Randy,Graf,REP,2006,27063,0.4224,,,106790,0.42090000000000005
AZ|8|Steve|Huffman|2006,AZ,8,H6AZ08087,False,Steve,Huffman,REP,2006,24119,0.3764,,,,
AZ|8|Mike|Hellon|2006,AZ,8,H6AZ08079,False,Mike,Hellon,REP,2006,8095,0.1263,,,,
AZ|8|Frank|Antenori|2006,AZ,8,H6AZ08129,False,Frank,Antenori,REP,2006,2724,0.0425,,,,
AZ|8|Mike (Michael T.)|Jenkins|2006,AZ,8,H6AZ08012,False,Mike (Michael T.),Jenkins,REP,2006,2075,0.032400000000000005,,,,
AZ|8|David F.|Nolan|2006,AZ,8,H6AZ08137,False,David F.,Nolan,LBT,2006,516,1.0,,,4849,0.0191
AZ|8|Jay|Quick|2006,AZ,8,H6AZ08103,False,Jay,Quick,IND,2006,,,,,4408,0.0174
AZ|8|Russ|Dove|2006,AZ,8,H6AZ08145,False,Russ,Dove,W,2006,,,,,7,0.0
AZ|8|Paul |Price|2006,AZ,8,H6AZ08160,False,Paul ,Price,W,2006,,,,,7,0.0
"AZ|8|Leo F., Sr.|Kimminau|2006",AZ,8,H6AZ08152,False,"Leo F., Sr.",Kimminau,W,2006,,,,,4,0.0
AR|1|Marion|Berry|2006,AR,1,H6AR01072,True,Marion,Berry,DEM,2006,0,,,,127577,0.6926000000000001
"AR|1|Mickey ""Stubby""|Stumbaugh|2006",AR,1,H6AR01106,False,"Mickey ""Stubby""",Stumbaugh,REP,2006,0,,,,56611,0.3074
AR|2|Vic|Snyder|2006,AR,2,H6AR02203,True,Vic,Snyder,DEM,2006,0,,,,124871,0.6053000000000001
AR|2|Andy|Mayberry|2006,AR,2,H6AR02229,False,Andy,Mayberry,REP,2006,12460,0.773,,,81432,0.3947
AR|2|Tom|Formicola|2006,AR,2,H6AR02237,False,Tom,Formicola,REP,2006,3658,0.22699999999999998,,,,
AR|3|John|Boozman|2006,AR,3,H2AR03176,True,John,Boozman,REP,2006,0,,,,125039,0.6223
AR|3|Woodrow|Anderson|2006,AR,3,H6AR03086,False,Woodrow,Anderson,DEM,2006,0,,,,75885,0.37770000000000004
AR|4|Mike|Ross|2006,AR,4,H0AR04038,True,Mike,Ross,DEM,2006,0,,,,128236,0.7473000000000001
AR|4|Joe|Ross|2006,AR,4,H6AR04068,False,Joe,Ross,REP,2006,0,,,,43360,0.2527
CA|S|Dianne|Feinstein|2006,CA,S,S0CA00199,True,Dianne,Feinstein,DEM,2006,2176888,0.8695999999999999,,,5076289,0.5943
CA|S|Colleen |Fernald|2006,CA,S,S6CA00527,False,Colleen ,Fernald,DEM,2006,199180,0.0796,,,,
CA|S|Martin Luther|Church|2006,CA,S,S6CA00519,False,Martin Luther,Church,DEM,2006,127301,0.0509,,,,
"CA|S|Richard ""Dick""|Mountjoy|2006",CA,S,S6CA00501,False,"Richard ""Dick""",Mountjoy,REP,2006,1560472,1.0,,,2990822,0.3502
CA|S|Todd |Chretien|2006,CA,S,S6CA00485,False,Todd ,Chretien,GRE,2006,12821,0.46140000000000003,,,147074,0.0172
CA|S|Tian |Harter|2006,CA,S,S6CA00535,False,Tian ,Harter,GRE,2006,10318,0.3713,,,,
CA|S|Kent P.|Mesplay|2006,CA,S,S6CA00543,False,Kent P.,Mesplay,GRE/W,2006,4649,0.1673,,,160,0.0
CA|S|Michael S.|Metti|2006,CA,S,S6CA00550,False,Michael S.,Metti,LBT,2006,16742,1.0,,,133851,0.015700000000000002
CA|S|Marsha |Feinland|2006,CA,S,S4CA00357,False,Marsha ,Feinland,PAF,2006,4109,1.0,,,117764,0.0138
CA|S|Don J.|Grundmann|2006,CA,S,S4CA00332,False,Don J.,Grundmann,AIP,2006,30787,1.0,,,75350,0.0088
CA|S|Jeffrey|Mackler|2006,CA,S,,False,Jeffrey,Mackler,W,2006,,,,,108,0.0
CA|S|Lea|Sherman|2006,CA,S,,False,Lea,Sherman,W,2006,,,,,47,0.0
CA|S|Connor|Vlakancic|2006,CA,S,,False,Connor,Vlakancic,W,2006,,,,,11,0.0
CA|1|Mike |Thompson|2006,CA,1,H8CA01109,True,Mike ,Thompson,DEM,2006,79138,1.0,,,144409,0.6623
CA|1|John W.|Jones|2006,CA,1,H6CA01152,False,John W.,Jones,REP,2006,41953,1.0,,,63194,0.2898
CA|1|Pamela|Elizondo|2006,CA,1,H0CA01130,False,Pamela,Elizondo,GRE,2006,2952,1.0,,,6899,0.0316
CA|1|Timothy J.|Stock|2006,CA,1,H6CA001160,False,Timothy J.,Stock,PAF,2006,168,1.0,,,3503,0.0161
CA|1|Carol|Wolman|2006,CA,1,,False,Carol,Wolman,W,2006,,,,,39,0.0002
CA|2|Wally |Herger|2006,CA,2,H6CA02010,True,Wally ,Herger,REP,2006,69669,1.0,,,134911,0.6418
