letter	frequency
0-0.1	0
0.1-0.2	0
0.2-0.3	0.00244498777506
0.3-0.4	0.00244498777506
0.4-0.5	0.0171149144254
0.5-0.6	0.041564792176
0.6-0.7	0.0709046454768
0.7-0.8	0.0537897310513
0.8-0.9	0.0904645476773
0.9-1.0	0.721271393643
0.9-1.0	0.721271393643
 	0
