"","Sector","AdjClose","Group","YrPercentChange"
"11","Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315
"31","Consumer Discretionary",1486.952853,"Values0708b",-38.2718022321459
"51","Consumer Discretionary",3571.217993,"Values0910b",133.172562819143
"71","Consumer Discretionary",4848.226777,"Values1112b",33.3343732176265
"91","Consumer Discretionary",8184.442504,"Values1314b",64.4076399860854
"12","Consumer Staples",954.249739,"Values0506b",16.0713877776614
"32","Consumer Staples",841.080984,"Values0708b",-11.8594483576799
"52","Consumer Staples",1276.894906,"Values0910b",41.7387671770374
"72","Consumer Staples",1733.876594,"Values1112b",29.9364513821393
"92","Consumer Staples",2704.199142,"Values1314b",52.3467766723042
"13","Energy",1348.010537,"Values0506b",62.8528396649974
"33","Energy",1067.548045,"Values0708b",-20.8056602156961
"53","Energy",1891.171767,"Values0910b",75.2135392458047
"73","Energy",1889.559322,"Values1112b",-1.9424059825736
"93","Energy",2302.988878,"Values1314b",15.1340006310934
"14","Financials",5555.739999,"Values0506b",35.1064505609807
"34","Financials",2225.069963,"Values0708b",-61.0111146129973
"54","Financials",3368.140109,"Values0910b",50.7751611207871
"74","Financials",3888.64132,"Values1112b",15.4536686169667
"94","Financials",5999.823849,"Values1314b",54.2910069422397
"15","Health Care",1854.677021,"Values0506b",20.8390015309827
"35","Health Care",1537.860627,"Values0708b",-17.0820250864584
"55","Health Care",2407.059799,"Values0910b",53.6358425321062
"75","Health Care",3406.316132,"Values1112b",40.0185967147347
"95","Health Care",5966.566284,"Values1314b",78.2492614593595
"16","Industrials",2247.393539,"Values0506b",28.2912484881694
"36","Industrials",1805.288503,"Values0708b",-19.6719011747591
"56","Industrials",2926.302946,"Values0910b",61.0940080095609
"76","Industrials",3400.624114,"Values1112b",16.2088880321963
"96","Industrials",5442.195259,"Values1314b",55.5140148226657
"17","Information Technology",1575.122081,"Values0506b",17.5743828802466
"37","Information Technology",1141.726655,"Values0708b",-30.1179073795542
"57","Information Technology",2198.654219,"Values0910b",85.8408164233891
"77","Information Technology",2387.483504,"Values1112b",7.30339532248292
"97","Information Technology",3837.505564,"Values1314b",58.9619316674659
"18","Materials",994.347645,"Values0506b",30.380416957915
"38","Materials",832.958516,"Values0708b",-16.6289458750161
"58","Materials",1292.213892,"Values0910b",55.1354439841035
"78","Materials",1588.156648,"Values1112b",20.5756414870214
"98","Materials",2244.49036,"Values1314b",41.3267616155204
"19","Telecommunication Services",75.598322,"Values0506b",24.3061425698136
"39","Telecommunication Services",70.088244,"Values0708b",-17.8153769113021
"59","Telecommunication Services",104.162058,"Values0910b",48.6155909399014
"79","Telecommunication Services",112.519055,"Values1112b",8.02307208638292
"99","Telecommunication Services",132.289977,"Values1314b",17.5711767220228
"20","Utilities",846.831177,"Values0506b",38.7572063080446
"40","Utilities",722.718093,"Values0708b",-14.6561779219898
"60","Utilities",868.722424,"Values0910b",20.2021137168348
"80","Utilities",1065.691899,"Values1112b",22.6734650284565
"100","Utilities",1570.556263,"Values1314b",47.3743269019633
