CID,Name,Party,Cycle,Industry,Industry Code,Total,PACs,Individuals,Origin,Last Updated,Source,,,,,,,
N00026160,Tom Price,R,2014,Commercial Banks,F03,50750,48500,2250,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026160&cycle=2014,,,,,,,
N00029675,Brett Guthrie,R,2014,Retail Sales,N03,50750,29500,21250,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029675&cycle=2014,,,,,,,
N00003028,Robert B. Aderholt,R,2014,Misc Defense,D03,50747,22000,28747,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003028&cycle=2014,,,,,,,
N00029679,John Fleming,R,2014,Real Estate,F10,50700,4000,46700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029679&cycle=2014,,,,,,,
N00003813,Pete Visclosky,D,2014,Defense Aerospace,D01,50700,40000,10700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003813&cycle=2014,,,,,,,
N00006446,Matt Salmon,R,2014,Health Services/HMOs,H03,50700,19500,31200,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00006446&cycle=2014,,,,,,,
N00000528,Bernie Sanders,I,2014,Environment,Q11,50647,3257,47390,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000528&cycle=2014,,,,,,,
N00026460,Michael McCaul,R,2014,Securities & Investment,F07,50600,20000,30600,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026460&cycle=2014,,,,,,,
N00030752,Jeff Duncan,R,2014,Oil & Gas,E01,50600,47500,3100,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030752&cycle=2014,,,,,,,
N00012739,Ander Crenshaw,R,2014,Defense Aerospace,D01,50500,43000,7500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012739&cycle=2014,,,,,,,
N00031672,Blake Farenthold,R,2014,Air Transport,M01,50500,50000,500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031672&cycle=2014,,,,,,,
N00027623,Adrian Smith,R,2014,Agricultural Services/Products,A07,50450,46000,4450,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027623&cycle=2014,,,,,,,
N00033495,Susan Brooks,R,2014,Pharmaceuticals/Health Products,H04,50400,23500,26900,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033495&cycle=2014,,,,,,,
N00000615,Rosa L. DeLauro,D,2014,Human Rights,Q09,50400,13600,36800,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000615&cycle=2014,,,,,,,
N00001685,Jay Rockefeller,D,2014,Lobbyists,K02,50325,-1500,51825,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001685&cycle=2014,,,,,,,
N00002147,Bobby Scott,D,2014,Public Sector Unions,P04,50250,50000,250,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002147&cycle=2014,,,,,,,
N00000153,Richard E. Neal,D,2014,Real Estate,F10,50240,46990,3250,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000153&cycle=2014,,,,,,,
N00029675,Brett Guthrie,R,2014,Retired,W06,50230,0,50230,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029675&cycle=2014,,,,,,,
N00033541,Pete Gallego,D,2014,Democratic/Liberal,Q02,50217,20150,30067,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033541&cycle=2014,,,,,,,
N00031244,Joe Heck,R,2014,Lawyers/Law Firms,K01,50210,21000,29210,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031244&cycle=2014,,,,,,,
N00008046,Barbara Lee,D,2014,Real Estate,F10,50200,9000,41200,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00008046&cycle=2014,,,,,,,
N00007781,Peter DeFazio,D,2014,Building Materials & Equipment,C05,50200,41500,8700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007781&cycle=2014,,,,,,,
N00012233,Robert E. Latta,R,2014,Electric Utilities,E08,50175,43000,7175,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012233&cycle=2014,,,,,,,
N00026595,Charles W. Boustany Jr,R,2014,Real Estate,F10,50150,17000,33150,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026595&cycle=2014,,,,,,,
N00007727,Earl Blumenauer,D,2014,Public Sector Unions,P04,50125,50125,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007727&cycle=2014,,,,,,,
N00030673,Bill Huizenga,R,2014,Retired,W06,50080,0,50080,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030673&cycle=2014,,,,,,,
N00024809,Joe Wilson,R,2014,Health Professionals,H01,50001,37500,12501,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024809&cycle=2014,,,,,,,
N00033549,Mark Pocan,D,2014,Industrial Unions,P02,50000,50000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033549&cycle=2014,,,,,,,
N00033541,Pete Gallego,D,2014,Securities & Investment,F07,50000,23500,26500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033541&cycle=2014,,,,,,,
N00030184,Cedric Richmond,D,2014,Transportation Unions,P03,50000,50000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030184&cycle=2014,,,,,,,
N00003225,Steve Cohen,D,2014,Transportation Unions,P03,50000,50000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003225&cycle=2014,,,,,,,
N00030196,Paul Tonko,D,2014,Building Trade Unions,P01,50000,50000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030196&cycle=2014,,,,,,,
N00001619,Robert A. Brady,D,2014,Industrial Unions,P02,50000,50000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001619&cycle=2014,,,,,,,
N00007335,Anna Eshoo,D,2014,Telephone Utilities,B08,50000,50000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007335&cycle=2014,,,,,,,
N00031933,Bill Keating,D,2014,Transportation Unions,P03,50000,50000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031933&cycle=2014,,,,,,,
N00027239,Daniel Lipinski,D,2014,Construction Services,C04,49950,24600,25350,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027239&cycle=2014,,,,,,,
N00030676,Billy Long,R,2014,Real Estate,F10,49890,9990,39900,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030676&cycle=2014,,,,,,,
N00028418,Alan Grayson,D,2014,Lawyers/Law Firms,K01,49800,21500,28300,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00028418&cycle=2014,,,,,,,
N00027894,Jim Jordan,R,2014,Misc Manufacturing & Distributing,N15,49800,24500,25300,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027894&cycle=2014,,,,,,,
N00031226,Jackie Walorski,R,2014,Misc Defense,D03,49750,30000,19750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031226&cycle=2014,,,,,,,
N00021207,Rick Nolan,D,2014,Securities & Investment,F07,49750,6000,43750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00021207&cycle=2014,,,,,,,
N00000515,Peter Welch,D,2014,Pharmaceuticals/Health Products,H04,49700,42500,7200,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000515&cycle=2014,,,,,,,
N00033532,James Bridenstine,R,2014,Health Professionals,H01,49700,23000,26700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033532&cycle=2014,,,,,,,
N00031934,Dan Benishek,R,2014,Forestry & Forest Products,A10,49700,48200,1500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031934&cycle=2014,,,,,,,
N00026368,Tim Walberg,R,2014,Real Estate,F10,49700,10600,39100,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026368&cycle=2014,,,,,,,
N00033541,Pete Gallego,D,2014,Real Estate,F10,49689,13000,36689,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033541&cycle=2014,,,,,,,
N00007727,Earl Blumenauer,D,2014,Misc Manufacturing & Distributing,N15,49675,27500,22175,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007727&cycle=2014,,,,,,,
N00030768,Martha Roby,R,2014,Health Professionals,H01,49630,26500,23130,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030768&cycle=2014,,,,,,,
N00012739,Ander Crenshaw,R,2014,Real Estate,F10,49600,20500,29100,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012739&cycle=2014,,,,,,,
N00009154,Bob Goodlatte,R,2014,Automotive,M02,49600,44500,5100,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009154&cycle=2014,,,,,,,
N00026790,Emanuel Cleaver,D,2014,Public Sector Unions,P04,49516,49516,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026790&cycle=2014,,,,,,,
N00031557,Dennis Heck,D,2014,Public Sector Unions,P04,49500,49000,500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031557&cycle=2014,,,,,,,
N00030967,Sean P. Duffy,R,2014,Accountants,F11,49500,44000,5500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030967&cycle=2014,,,,,,,
N00031681,David McKinley,R,2014,Building Trade Unions,P01,49500,49500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031681&cycle=2014,,,,,,,
N00013846,Jeff Miller,R,2014,Defense Aerospace,D01,49500,47500,2000,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00013846&cycle=2014,,,,,,,
N00025337,Mario Diaz-Balart,R,2014,Building Trade Unions,P01,49500,49500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00025337&cycle=2014,,,,,,,
N00029562,Ben R. Lujan,D,2014,Building Trade Unions,P01,49500,49500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029562&cycle=2014,,,,,,,
N00008274,Loretta Sanchez,D,2014,Building Trade Unions,P01,49500,49500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00008274&cycle=2014,,,,,,,
N00004558,Collin C. Peterson,D,2014,Public Sector Unions,P04,49500,49500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00004558&cycle=2014,,,,,,,
N00030645,Dennis Ross,R,2014,Finance/Credit Companies,F06,49450,42750,6700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030645&cycle=2014,,,,,,,
N00031227,Larry Bucshon,R,2014,Building Materials & Equipment,C05,49450,13000,36450,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031227&cycle=2014,,,,,,,
N00000245,John Kerry,D,2014,Hospitals/Nursing Homes,H02,49450,3500,45950,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000245&cycle=2014,,,,,,,
N00033640,Hakeem Jeffries,D,2014,Real Estate,F10,49409,6000,43409,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033640&cycle=2014,,,,,,,
N00036154,Don Norcross,D,2014,Health Professionals,H01,49350,36000,13350,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00036154&cycle=2014,,,,,,,
N00009738,John Culberson,R,2014,Real Estate,F10,49350,16000,33350,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009738&cycle=2014,,,,,,,
N00030736,John Carney,D,2014,Accountants,F11,49249,47499,1750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030736&cycle=2014,,,,,,,
N00031244,Joe Heck,R,2014,General Contractors,C01,49200,15500,33700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031244&cycle=2014,,,,,,,
N00008274,Loretta Sanchez,D,2014,Public Sector Unions,P04,49200,49200,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00008274&cycle=2014,,,,,,,
N00030197,Richard Hanna,R,2014,General Contractors,C01,49190,17500,31690,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030197&cycle=2014,,,,,,,
N00024992,Tim Murphy,R,2014,Hospitals/Nursing Homes,H02,49170,19170,30000,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024992&cycle=2014,,,,,,,
N00008799,Kay Granger,R,2014,Misc Manufacturing & Distributing,N15,49150,22000,27150,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00008799&cycle=2014,,,,,,,
N00026160,Tom Price,R,2014,Lawyers/Law Firms,K01,49050,22350,26700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026160&cycle=2014,,,,,,,
N00030968,Reid Ribble,R,2014,Air Transport,M01,49000,49000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030968&cycle=2014,,,,,,,
N00028091,Carol Shea-Porter,D,2014,Industrial Unions,P02,49000,49000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00028091&cycle=2014,,,,,,,
N00030602,Roger Williams,R,2014,Commercial Banks,F03,49000,17100,31900,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030602&cycle=2014,,,,,,,
N00030962,Scott Rigell,R,2014,Retail Sales,N03,49000,28000,21000,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030962&cycle=2014,,,,,,,
N00006806,Janice Hahn,D,2014,Air Transport,M01,49000,49000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00006806&cycle=2014,,,,,,,
N00031005,Vicky Hartzler,R,2014,Retired,W06,49000,0,49000,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031005&cycle=2014,,,,,,,
N00026790,Emanuel Cleaver,D,2014,Industrial Unions,P02,49000,49000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026790&cycle=2014,,,,,,,
N00031412,Mick Mulvaney,R,2014,Accountants,F11,49000,49000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031412&cycle=2014,,,,,,,
N00026595,Charles W. Boustany Jr,R,2014,Retired,W06,48992,0,48992,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026595&cycle=2014,,,,,,,
N00024842,Joe Courtney,D,2014,Retired,W06,48950,0,48950,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024842&cycle=2014,,,,,,,
N00009753,Jim Matheson,D,2014,Health Services/HMOs,H03,48950,39000,9950,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009753&cycle=2014,,,,,,,
N00007781,Peter DeFazio,D,2014,Railroads,M04,48950,44000,4950,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00007781&cycle=2014,,,,,,,
N00026460,Michael McCaul,R,2014,"Beer, Wine & Liquor",N02,48900,13000,35900,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026460&cycle=2014,,,,,,,
N00030071,Kurt Schrader,D,2014,Insurance,F09,48900,43500,5400,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030071&cycle=2014,,,,,,,
N00030071,Kurt Schrader,D,2014,Misc Manufacturing & Distributing,N15,48900,29000,19900,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030071&cycle=2014,,,,,,,
N00033474,Suzanne Bonamici,D,2014,Health Professionals,H01,48850,41500,7350,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033474&cycle=2014,,,,,,,
N00001024,Nita M. Lowey,D,2014,Business Services,N05,48800,2000,46800,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001024&cycle=2014,,,,,,,
N00033310,Brad Wenstrup,R,2014,Misc Manufacturing & Distributing,N15,48799,11499,37300,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033310&cycle=2014,,,,,,,
N00026914,Gwen Moore,D,2014,Commercial Banks,F03,48750,48000,750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026914&cycle=2014,,,,,,,
N00027626,Vernon Buchanan,R,2014,Health Services/HMOs,H03,48750,40200,8550,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027626&cycle=2014,,,,,,,
N00030968,Reid Ribble,R,2014,Dairy,A04,48700,29000,19700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030968&cycle=2014,,,,,,,
N00031539,Diane Black,R,2014,Health Services/HMOs,H03,48700,37500,11200,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031539&cycle=2014,,,,,,,
N00009774,Xavier Becerra,D,2014,Casinos/Gambling,N07,48700,0,48700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009774&cycle=2014,,,,,,,
N00033508,Eric Swalwell,D,2014,"Beer, Wine & Liquor",N02,48620,23764,24856,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033508&cycle=2014,,,,,,,
N00034453,Derek Kilmer,D,2014,Public Sector Unions,P04,48600,46000,2600,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00034453&cycle=2014,,,,,,,
N00002893,Lois J. Frankel,D,2014,Business Services,N05,48600,11000,37600,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002893&cycle=2014,,,,,,,
N00033281,Tulsi Gabbard,D,2014,TV/Movies/Music,B02,48550,14000,34550,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033281&cycle=2014,,,,,,,
N00029649,Jackie Speier,D,2014,Retail Sales,N03,48550,47500,1050,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029649&cycle=2014,,,,,,,
N00029632,Gregg Harper,R,2014,Real Estate,F10,48550,8000,40550,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029632&cycle=2014,,,,,,,
N00012942,Betty McCollum,D,2014,Retired,W06,48541,0,48541,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012942&cycle=2014,,,,,,,
N00033281,Tulsi Gabbard,D,2014,Building Trade Unions,P01,48500,48500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033281&cycle=2014,,,,,,,
N00005870,Gene Green,D,2014,Building Trade Unions,P01,48500,48500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00005870&cycle=2014,,,,,,,
N00030196,Paul Tonko,D,2014,Public Sector Unions,P04,48500,48500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030196&cycle=2014,,,,,,,
N00030191,Dina Titus,D,2014,Building Trade Unions,P01,48500,48500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030191&cycle=2014,,,,,,,
N00027467,Timothy J. Walz,D,2014,Transportation Unions,P03,48500,48500,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027467&cycle=2014,,,,,,,
N00003473,Hal Rogers,R,2014,Defense Aerospace,D01,48500,45500,3000,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003473&cycle=2014,,,,,,,
N00030770,Rick Crawford,R,2014,Agricultural Services/Products,A07,48466,46500,1966,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030770&cycle=2014,,,,,,,
N00033395,Dan Kildee,D,2014,Lawyers/Law Firms,K01,48460,20000,28460,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033395&cycle=2014,,,,,,,
N00000851,Frank A. LoBiondo,R,2014,Insurance,F09,48450,33000,15450,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000851&cycle=2014,,,,,,,
N00002424,Mark Sanford,R,2014,Forestry & Forest Products,A10,48450,3000,45450,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002424&cycle=2014,,,,,,,
N00030856,John Garamendi,D,2014,Real Estate,F10,48435,11000,37435,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030856&cycle=2014,,,,,,,
N00009724,Jim Langevin,D,2014,Defense Electronics,D02,48350,36000,12350,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009724&cycle=2014,,,,,,,
N00030768,Martha Roby,R,2014,Insurance,F09,48350,45100,3250,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030768&cycle=2014,,,,,,,
N00035282,Jason Smith,R,2014,Lawyers/Law Firms,K01,48350,12000,36350,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00035282&cycle=2014,,,,,,,
N00026148,Louis B. Gohmert Jr,R,2014,Republican/Conservative,Q01,48250,31500,16750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026148&cycle=2014,,,,,,,
N00029285,Pete Olson,R,2014,Lawyers/Law Firms,K01,48213,26262,21951,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029285&cycle=2014,,,,,,,
N00024978,Henry Cuellar,D,2014,Automotive,M02,48200,39000,9200,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024978&cycle=2014,,,,,,,
N00001971,Elijah E. Cummings,D,2014,Sea Transport,M05,48200,38500,9700,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001971&cycle=2014,,,,,,,
N00009668,Mike Rogers,R,2014,Telecom Services,B09,48100,45500,2600,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009668&cycle=2014,,,,,,,
N00034453,Derek Kilmer,D,2014,Real Estate,F10,48050,25000,23050,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00034453&cycle=2014,,,,,,,
N00026460,Michael McCaul,R,2014,Lobbyists,K02,48020,2000,46020,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026460&cycle=2014,,,,,,,
N00002685,Saxby Chambliss,R,2014,Mining,E04,48003,5000,43003,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002685&cycle=2014,,,,,,,
N00029662,Bill Posey,R,2014,Commercial Banks,F03,48000,38500,9500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029662&cycle=2014,,,,,,,
N00001311,Louise M. Slaughter,D,2014,Defense Electronics,D02,48000,19500,28500,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001311&cycle=2014,,,,,,,
N00001311,Louise M. Slaughter,D,2014,Building Trade Unions,P01,48000,48000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001311&cycle=2014,,,,,,,
N00030962,Scott Rigell,R,2014,Defense Aerospace,D01,48000,48000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030962&cycle=2014,,,,,,,
N00030768,Martha Roby,R,2014,Crop Production & Basic Processing,A01,48000,47250,750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030768&cycle=2014,,,,,,,
N00025237,Steven A. King,R,2014,Agricultural Services/Products,A07,48000,24250,23750,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00025237&cycle=2014,,,,,,,
N00024842,Joe Courtney,D,2014,Industrial Unions,P02,48000,48000,0,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024842&cycle=2014,,,,,,,
N00031938,Justin Amash,R,2014,Real Estate,F10,47900,2000,45900,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031938&cycle=2014,,,,,,,
N00001024,Nita M. Lowey,D,2014,Lobbyists,K02,47850,1000,46850,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001024&cycle=2014,,,,,,,
N00012546,Luke Messer,R,2014,Misc Manufacturing & Distributing,N15,47826,22476,25350,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012546&cycle=2014,,,,,,,
N00030602,Roger Williams,R,2014,Insurance,F09,47817,26000,21817,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030602&cycle=2014,,,,,,,
N00034746,Ron DeSantis,R,2014,Lawyers/Law Firms,K01,47802,7250,40552,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00034746&cycle=2014,,,,,,,
N00026914,Gwen Moore,D,2014,Casinos/Gambling,N07,47800,1000,46800,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026914&cycle=2014,,,,,,,
N00026043,Randy Neugebauer,R,2014,Livestock,A06,47800,20000,27800,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00026043&cycle=2014,,,,,,,
N00030815,Chuck Fleischmann,R,2014,Insurance,F09,47800,36400,11400,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030815&cycle=2014,,,,,,,
N00030071,Kurt Schrader,D,2014,Lawyers/Law Firms,K01,47773,12000,35773,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030071&cycle=2014,,,,,,,
N00027626,Vernon Buchanan,R,2014,Commercial Banks,F03,47750,45500,2250,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027626&cycle=2014,,,,,,,
