CID,Name,Party,Cycle,Industry,Industry Code,Total,PACs,Individuals,Origin,Last Updated,Source,,,,,,,
N00033085,Ted Cruz,R,2014,Republican/Conservative,Q01,1599057,112331,1486726,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033085&cycle=2014,,,,,,,
N00033492,Elizabeth Warren,D,2014,Women's Issues,Q08,1598383,20472,1577911,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033492&cycle=2014,,,,,,,
N00001093,Charles E. Schumer,D,2014,Real Estate,F10,1583089,111500,1471589,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001093&cycle=2014,,,,,,,
N00030608,Michael F. Bennet,D,2014,Lawyers/Law Firms,K01,1547134,196551,1350583,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030608&cycle=2014,,,,,,,
N00029016,Al Franken,D,2014,Lawyers/Law Firms,K01,1498404,93938,1404466,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029016&cycle=2014,,,,,,,
N00001489,Pat Toomey,R,2014,Retired,W06,1483679,0,1483679,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001489&cycle=2014,,,,,,,
N00001489,Pat Toomey,R,2014,Republican/Conservative,Q01,1478768,90817,1387951,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001489&cycle=2014,,,,,,,
N00012539,Mark Kirk,R,2014,Retired,W06,1426780,0,1426780,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012539&cycle=2014,,,,,,,
N00027605,Jon Tester,D,2014,Lawyers/Law Firms,K01,1421571,172371,1249200,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027605&cycle=2014,,,,,,,
N00003682,Rob Portman,R,2014,Retired,W06,1409992,0,1409992,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003682&cycle=2014,,,,,,,
N00002097,Mark Warner,D,2014,Lawyers/Law Firms,K01,1399401,206124,1193277,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002097&cycle=2014,,,,,,,
N00027658,Kirsten Gillibrand,D,2014,Real Estate,F10,1380452,123000,1257452,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027658&cycle=2014,,,,,,,
N00029016,Al Franken,D,2014,Retired,W06,1374907,0,1374907,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029016&cycle=2014,,,,,,,
N00027694,Claire McCaskill,D,2014,Retired,W06,1361597,0,1361597,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027694&cycle=2014,,,,,,,
N00030780,Cory Gardner,R,2014,Retired,W06,1361430,0,1361430,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030780&cycle=2014,,,,,,,
N00033492,Elizabeth Warren,D,2014,Education,W04,1361108,0,1361108,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033492&cycle=2014,,,,,,,
N00003389,Mitch McConnell,R,2014,Retired,W06,1353085,0,1353085,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003389&cycle=2014,,,,,,,
N00004981,Dick Durbin,D,2014,Lawyers/Law Firms,K01,1345362,113170,1232192,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00004981&cycle=2014,,,,,,,
N00009573,Jeff Flake,R,2014,Republican/Conservative,Q01,1321404,61567,1259837,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009573&cycle=2014,,,,,,,
N00029617,Kay R. Hagan,D,2014,Retired,W06,1318904,0,1318904,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029617&cycle=2014,,,,,,,
N00033492,Elizabeth Warren,D,2014,Democratic/Liberal,Q02,1310017,359033,950984,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033492&cycle=2014,,,,,,,
N00006692,Barbara Boxer,D,2014,Retired,W06,1291270,0,1291270,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00006692&cycle=2014,,,,,,,
N00009922,Harry Reid,D,2014,Securities & Investment,F07,1281768,160600,1121168,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009922&cycle=2014,,,,,,,
N00013823,Mark Pryor,D,2014,Lawyers/Law Firms,K01,1276534,191042,1085492,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00013823&cycle=2014,,,,,,,
N00003535,Sherrod Brown,D,2014,Retired,W06,1265286,0,1265286,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003535&cycle=2014,,,,,,,
N00009869,Orrin G. Hatch,R,2014,Securities & Investment,F07,1239446,215571,1023875,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009869&cycle=2014,,,,,,,
N00003675,John Boehner,R,2014,Securities & Investment,F07,1222110,164000,1058110,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003675&cycle=2014,,,,,,,
N00024852,John Cornyn,R,2014,Oil & Gas,E01,1214531,284900,929631,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024852&cycle=2014,,,,,,,
N00027694,Claire McCaskill,D,2014,Women's Issues,Q08,1198915,26500,1172415,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027694&cycle=2014,,,,,,,
N00003675,John Boehner,R,2014,Retired,W06,1184150,0,1184150,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003675&cycle=2014,,,,,,,
N00030612,Marco Rubio,R,2014,Securities & Investment,F07,1155943,51400,1104543,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030612&cycle=2014,,,,,,,
N00024852,John Cornyn,R,2014,Securities & Investment,F07,1154613,166500,988113,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00024852&cycle=2014,,,,,,,
N00033363,Tom Cotton,R,2014,Retired,W06,1129702,0,1129702,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033363&cycle=2014,,,,,,,
N00006424,John McCain,R,2014,Retired,W06,1125960,0,1125960,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00006424&cycle=2014,,,,,,,
N00033363,Tom Cotton,R,2014,Securities & Investment,F07,1117690,58750,1058940,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033363&cycle=2014,,,,,,,
N00002097,Mark Warner,D,2014,Retired,W06,1115773,0,1115773,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002097&cycle=2014,,,,,,,
N00003682,Rob Portman,R,2014,Insurance,F09,1106497,487300,619197,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003682&cycle=2014,,,,,,,
N00027441,Bob Corker,R,2014,Securities & Investment,F07,1086731,212070,874661,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027441&cycle=2014,,,,,,,
N00009922,Harry Reid,D,2014,Lobbyists,K02,1073444,31563,1041881,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009922&cycle=2014,,,,,,,
N00006692,Barbara Boxer,D,2014,Women's Issues,Q08,1072821,23895,1048926,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00006692&cycle=2014,,,,,,,
N00027566,Christopher S. Murphy,D,2014,Retired,W06,1067467,0,1067467,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027566&cycle=2014,,,,,,,
N00030612,Marco Rubio,R,2014,Republican/Conservative,Q01,1067154,72021,995133,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030612&cycle=2014,,,,,,,
N00003389,Mitch McConnell,R,2014,Oil & Gas,E01,1049308,380099,669209,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003389&cycle=2014,,,,,,,
N00000699,Robert Menendez,D,2014,Real Estate,F10,1046032,107265,938767,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000699&cycle=2014,,,,,,,
N00000270,Ed Markey,D,2014,Securities & Investment,F07,1045876,52500,993376,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000270&cycle=2014,,,,,,,
N00030245,Bill Cassidy,R,2014,Health Professionals,H01,1045165,319600,725565,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030245&cycle=2014,,,,,,,
N00003682,Rob Portman,R,2014,Lawyers/Law Firms,K01,1043925,166298,877627,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003682&cycle=2014,,,,,,,
N00009975,Lindsey Graham,R,2014,Lawyers/Law Firms,K01,1034367,87250,947117,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009975&cycle=2014,,,,,,,
N00003389,Mitch McConnell,R,2014,Lawyers/Law Firms,K01,1019639,308150,711489,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003389&cycle=2014,,,,,,,
N00035267,Cory Booker,D,2014,Real Estate,F10,1003070,26000,977070,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00035267&cycle=2014,,,,,,,
N00027658,Kirsten Gillibrand,D,2014,Women's Issues,Q08,995496,27500,967996,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027658&cycle=2014,,,,,,,
N00005395,Mary L. Landrieu,D,2014,Oil & Gas,E01,991083,425866,565217,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00005395&cycle=2014,,,,,,,
N00033363,Tom Cotton,R,2014,Republican/Conservative,Q01,989293,81983,907310,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033363&cycle=2014,,,,,,,
N00003389,Mitch McConnell,R,2014,Health Professionals,H01,985495,288500,696995,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003389&cycle=2014,,,,,,,
N00029901,Mark Begich,D,2014,Lawyers/Law Firms,K01,976102,176343,799759,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029901&cycle=2014,,,,,,,
N00027658,Kirsten Gillibrand,D,2014,Retired,W06,973266,0,973266,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027658&cycle=2014,,,,,,,
N00003389,Mitch McConnell,R,2014,Insurance,F09,966750,371500,595250,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003389&cycle=2014,,,,,,,
N00029617,Kay R. Hagan,D,2014,Lawyers/Law Firms,K01,954987,171677,783310,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029617&cycle=2014,,,,,,,
