KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
TN|2|Debbie Jones|Howard|2004,TN,2,H4TN02043,False,Debbie Jones,Howard,R,2004,3861,0.08539999999999999,,,,
CA|18|Dennis A.|Cardoza|2004,CA,18,H2CA18056,True,Dennis A.,Cardoza,D,2004,39565,1.0,,,103732,0.6748999999999999
OH|14|Dale Virgil|Blanchard|2004,OH,14,H6OH11103,False,Dale Virgil,Blanchard,D,2004,3857,0.059699999999999996,,,,
MI|5|Clint|Foster|2004,MI,5,H8MI05058,False,Clint,Foster,LBT,2004,,,,,2350,0.0076
VA|11|Ken|Longmyer|2004,VA,11,H4VA00023,False,Ken,Longmyer,D,2004,,,,,118305,0.3826
ND|0|Earl|Pomeroy|2004,ND,0,H2ND00057,True,Earl,Pomeroy,DNL,2004,38925,1.0,,,185130,0.5956
TX|29|Gene|Green|2004,TX,29,H2TX29030,True,Gene,Green,D,2004,9337,1.0,,,78256,0.9414
ID|S|Mike|Crapo|2004,ID,S,S8ID00027,True,Mike,Crapo,R,2004,118286,1.0,,,499796,0.9918
WI|6|Tom|Petri|2004,WI,6,H0WI06061,True,Tom,Petri,R,2004,52459,0.997,,,238620,0.6703
MD|6|Roscoe G.|Bartlett|2004,MD,6,H2MD06054,True,Roscoe G.,Bartlett,R,2004,31867,0.7027,,,206076,0.6738
CA|52|Duncan|Hunter|2004,CA,52,H2CA42023,True,Duncan,Hunter,R,2004,83638,1.0,,,187799,0.6919
CA|45|John|Barker|2004,CA,45,H0CA44122,False,John,Barker,R,2004,8422,0.1407,,,,
CA|S|Toni|Casey|2004,CA,S,S4CA00225,False,Toni,Casey,R,2004,142080,0.06269999999999999,,,,
OR|5|Joseph H.|Bitz|2004,OR,5,H4OR05197,False,Joseph H.,Bitz,CON,2004,,,,,2971,0.0085
MO|7|Kevin|Craig|2004,MO,7,H4MO07107,False,Kevin,Craig,LBT,2004,461,1.0,,,2767,0.009300000000000001
CA|20|Lisa|Quigley|2004,CA,20,H0CA20074,False,Lisa,Quigley,D,2004,8925,0.2683,,,,
AZ|5|Roselyn|O'Connell|2004,AZ,5,H4AZ05054,False,Roselyn,O'Connell,R,2004,11296,0.20739999999999997,,,,
OH|18|Brian R.|Thomas|2004,OH,18,H4OH18145,False,Brian R.,Thomas,D,2004,24263,0.5232,,,90820,0.33840000000000003
"LA|3|""Charlie""|Melancon|2004",LA,3,H4LA03028,False,"""Charlie""",Melancon,D,2004,,,,,63328,0.23929999999999998
AK|0|Don E.|Young|2004,AK,0,H4AK00065,True,Don E.,Young,R,2004,70142,1.0,,,213216,0.7106999999999999
NV|3|Tom|Gallagher|2004,NV,3,H4NV03019,False,Tom,Gallagher,D,2004,23349,0.695,,,120365,0.40399999999999997
TX|24|James|Lawrence|2004,TX,24,H4TX24136,False,James,Lawrence,LBT,2004,,,,,4340,0.018000000000000002
MO|4|Jeff|Parnell|2004,MO,4,H4MO04088,False,Jeff,Parnell,R,2004,17643,0.2285,,,,
OR|1|David|Wu|2004,OR,1,H8OR01072,True,David,Wu,D,2004,62001,0.9899,,,203771,0.5751
MD|2|C.A. Dutch|Ruppersberger|2004,MD,2,H2MD02160,True,C.A. Dutch,Ruppersberger,D,2004,41509,1.0,,,164751,0.6662
IN|1|Mark J.|Leyva|2004,IN,1,H8IN01096,False,Mark J.,Leyva,R,2004,9529,0.44659999999999994,,,82858,0.3171
AR|S|Lisa|Burks|2004,AR,S,S4AR00061,False,Lisa,Burks,D,2004,47010,0.1691,,,,
TX|9|Chris|Bell|2004,TX,9,H2TX25178,True,Chris,Bell,D,2004,8492,0.313,,,,
TX|24|Kenny|Marchant|2004,TX,24,H4TX24094,False,Kenny,Marchant,R,2004,9073,0.7349,,,154435,0.6397999999999999
CA|5|John C.|Reiger|2004,CA,5,H4CA05240,False,John C.,Reiger,PFP,2004,215,1.0,,,3670,0.019
IL|6|Henry J.|Hyde|2004,IL,6,H6IL06026,True,Henry J.,Hyde,R,2004,50583,1.0,,,139627,0.5583
TN|4|Don|Cuva|2004,TN,4,H4TN04114,False,Don,Cuva,R,2004,465,0.021,,,,
NY|24|David L.|Walrath|2004,NY,24,H2NY24085,False,David L.,Walrath,"C,R",2004,15394,0.3958,,,23228,0.0924
TX|23|Joe|Sullivan|2004,TX,23,H6TX21095,False,Joe,Sullivan,D,2004,29061,0.6375,,,72480,0.294
IN|1|Peter J.|Visclosky|2004,IN,1,H4IN01012,True,Peter J.,Visclosky,D,2004,45141,1.0,,,178406,0.6829000000000001
MA|2|Richard E.|Neal|2004,MA,2,H8MA02041,True,Richard E.,Neal,D,2004,29707,0.9914000000000001,,,217682,0.9873000000000001
WY|0|Al|Hamburg|2004,WY,0,H6WY00050,False,Al,Hamburg,D,2004,2845,0.0925,,,,
MS|1|Roger F.|Wicker|2004,MS,1,H4MS01078,True,Roger F.,Wicker,R,2004,0,,,,219328,0.7901
FL|5|Brian|Moore|2004,FL,5,H2FL05143,False,Brian,Moore,D,2004,11532,0.22579999999999997,,,,
"LA|1|""Jerry""|Watts|2004",LA,1,H4LA01121,False,"""Jerry""",Watts,D,2004,,,,,10034,0.0349
NY|20|John J.|Coleman|2004,NY,20,H4NY20097,False,John J.,Coleman,D,2004,2427,0.3552,,,,
IN|9|Lendall B.|Terry|2004,IN,9,H0IN09039,False,Lendall B.,Terry,D,2004,6335,0.1176,,,,
CA|43|Joe|Baca|2004,CA,43,H6CA42099,True,Joe,Baca,D,2004,27769,1.0,,,86830,0.6637000000000001
CA|9|Claudia|Bermudez|2004,CA,9,H4CA09051,False,Claudia,Bermudez,R,2004,11813,1.0,,,31278,0.1226
TX|31|Wes|Riddle|2004,TX,31,H4TX11026,False,Wes,Riddle,R,2004,8215,0.22579999999999997,,,,
NJ|2|Costantino|Rozzo|2004,NJ,2,H0NJ02098,False,Costantino,Rozzo,SOC,2004,,,,,595,0.0022
CA|5|Robert T.|Matsui|2004,CA,5,H8CA03014,True,Robert T.,Matsui,D,2004,63291,0.9998,,,138004,0.7136
TN|3|June|Griffin|2004,TN,3,H4TN03157,False,June,Griffin,I,2004,,,,,3018,0.0118
OK|1|John|Sullivan|2004,OK,1,H2OK01093,True,John,Sullivan,R,2004,44082,0.7037,,,187145,0.6019
WA|2|Larry|Klepinger|2004,WA,2,H4WA02140,False,Larry,Klepinger,R,2004,19568,0.37189999999999995,,,,
CA|26|Randall|Weissbuch|2004,CA,26,H4CA28083,False,Randall,Weissbuch,LBT,2004,340,1.0,,,9089,0.0362
OH|15|Deborah|Pryce|2004,OH,15,H2OH15046,True,Deborah,Pryce,R,2004,36860,0.8356,,,166520,0.6002000000000001
GA|12|Doug|Haines|2004,GA,12,H4GA12028,False,Doug,Haines,D,2004,15808,0.2894,,,,
MI|8|Will Tyler|White|2004,MI,8,H4MI08093,False,Will Tyler,White,LBT,2004,,,,,3591,0.0105
KS|S|George|Cook|2004,KS,S,S2KS00089,False,George,Cook,REF,2004,,,,,15980,0.014199999999999999
NJ|4|Christopher H.|Smith|2004,NJ,4,H8NJ04014,True,Christopher H.,Smith,R,2004,14376,1.0,,,192671,0.67
MS|3|Lamonica L.|Magee|2004,MS,3,H4MS03025,False,Lamonica L.,Magee,REF,2004,,,,,18068,0.0616
TX|18|Sheila Jackson|Lee|2004,TX,18,H4TX18054,True,Sheila Jackson,Lee,D,2004,19565,1.0,,,136018,0.8891
CA|35|Gordon Michael|Mego|2004,CA,35,H6CA35093,False,Gordon Michael,Mego,AIP,2004,300,1.0,,,3440,0.022000000000000002
NC|S|John Ross|Hendrix|2004,NC,S,S4NC00105,False,John Ross,Hendrix,R,2004,25971,0.0755,,,,
AL|6|Spencer|Bachus|2004,AL,6,H2AL06035,True,Spencer,Bachus,R,2004,45448,0.8665,,,264819,0.988
IN|4|Mike|Campbell|2004,IN,4,H4IN04156,False,Mike,Campbell,R,2004,8403,0.10439999999999999,,,,
FL|13|Christine|Jennings|2004,FL,13,H4FL13069,False,Christine,Jennings,D,2004,16581,0.3768,,,,
IL|5|Bruce|Best|2004,IL,5,H4IL05148,False,Bruce,Best,R,2004,10148,1.0,,,49530,0.2382
IL|13|Gloria Schor|Andersen|2004,IL,13,H4IL13159,False,Gloria Schor,Andersen,D,2004,37636,1.0,,,107836,0.34979999999999994
IN|8|Jon P.|Jennings|2004,IN,8,H4IN08157,False,Jon P.,Jennings,D,2004,37853,0.7349,,,121522,0.44549999999999995
TX|29|Clifford L.|Messina|2004,TX,29,H0TX25040,False,Clifford L.,Messina,LBT,2004,,,,,4868,0.058600000000000006
NH|S|Ken|Blevens|2004,NH,S,,False,Ken,Blevens,W,2004,,,,,102,0.0002
PA|5|Thomas A.|Martin|2004,PA,5,H0PA05052,False,Thomas A.,Martin,LBT,2004,,,,,26239,0.1197
NJ|1|S. Daniel|Hutchison|2004,NJ,1,H4NJ01050,False,S. Daniel,Hutchison,R,2004,4188,0.5007,,,66109,0.2465
VA|10|Frank R.|Wolf|2004,VA,10,H6VA10050,True,Frank R.,Wolf,R,2004,0,,,,205982,0.6377
MO|3|Jo Ann|Karll|2004,MO,3,H4MO03148,False,Jo Ann,Karll,D,2004,2667,0.024900000000000002,,,,
VT|0|Greg|Parke|2004,VT,0,H2VT00086,False,Greg,Parke,R,2004,12660,0.9803000000000001,,,74271,0.24350000000000002
TX|2|Mark|Henry|2004,TX,2,H4TX02116,False,Mark,Henry,R,2004,2423,0.0992,,,,
NC|5|Roger N.|Kirkman|2004,NC,5,H4NC05237,False,Roger N.,Kirkman,D,2004,3784,0.15869999999999998,,,,
IN|4|David|Sanders|2004,IN,4,H4IN04149,False,David,Sanders,D,2004,9320,0.6245,,,77574,0.28300000000000003
OH|3|Mike|Turner|2004,OH,3,H2OH03067,True,Mike,Turner,R,2004,48482,1.0,,,197290,0.6229
OR|1|Tim|Phillips|2004,OR,1,H4OR01063,False,Tim,Phillips,R,2004,13316,0.24280000000000002,,,,
MD|7|Virginia T.|Rodino|2004,MD,7,H4MD07058,False,Virginia T.,Rodino,GRN,2004,,,,,4727,0.0194
GA|6|Chris|Chatwood|2004,GA,6,H4GA06129,False,Chris,Chatwood,R,2004,991,0.012,,,,
NY|21|Warren|Redlich|2004,NY,21,H2NY21073,False,Warren,Redlich,R,2004,0,,,,80121,0.2922
AZ|8|Eva|Bacal|2004,AZ,8,H4AZ08058,False,Eva,Bacal,D,2004,20216,0.5861999999999999,,,109963,0.36200000000000004
OH|S|Eric D.|Fingerhut|2004,OH,S,S4OH00135,False,Eric D.,Fingerhut,D,2004,672989,0.7079000000000001,,,1961249,0.3614
GA|S|Matthew|Jamison|2004,GA,S,S4GA11194,False,Matthew,Jamison,W,2004,,,,,7,0.0
IL|8|Melissa|Bean|2004,IL,8,H2IL08088,False,Melissa,Bean,D,2004,26740,0.7805,,,139792,0.517
