ID,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,CANDTOTAL,WINNER,RaceFundPerc
DONYOUNG2012AK1,2012,AK,DON,YOUNG,1,DON YOUNG,R,671386,1,0.998884154
JOBONNER2012AL1,2012,AL,JO,BONNER,1,JO BONNER,R,661575,1,1
MARTHAROBY2012AL2,2012,AL,MARTHA,ROBY,2,MARTHA ROBY,R,614700,1,1
MIKEROGERS2012AL3,2012,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,682615,1,1
ROBERTADERHOLT2012AL4,2012,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,669720,1,0.983118523
CHARLIEHOLLEY2012AL5,2012,AL,CHARLIE,HOLLEY,5,CHARLIE L HOLLEY,D,16577,0,0.027571719
MOBROOKS2012AL5,2012,AL,MO,BROOKS,5,MO BROOKS,R,584655,1,0.972428281
PENNYBAILEY2012AL6,2012,AL,PENNY,BAILEY,6,PENNY BAILEY,D,27322,0,0.013774884
TERRISEWELL2012AL7,2012,AL,TERRI,SEWELL,7,TERRI A SEWELL,D,709495,1,0.997960461
DONCHAMBERLAIN2012AL7,2012,AL,DON,CHAMBERLAIN,7,DON CHAMBERLAIN,R,1450,0,0.002039539
RICKCRAWFORD2012AR1,2012,AR,RICK,CRAWFORD,1,RICK CRAWFORD,R,736873,1,0.75339264
SCOTTELLINGTON2012AR1,2012,AR,SCOTT,ELLINGTON,1,SCOTT ELLINGTON,D,241200,0,0.24660736
TIMGRIFFIN2012AR2,2012,AR,TIM,GRIFFIN,2,TIM GRIFFIN,R,903408,1,0.943417388
HERBRULE2012AR2,2012,AR,HERB,RULE,2,HERB RULE,D,54183,0,0.056582612
STEVEWOMACK2012AR3,2012,AR,STEVE,WOMACK,3,STEVE WOMACK,R,585163,1,1
TOMCOTTON2012AR4,2012,AR,TOM,COTTON,4,TOM COTTON,R,1361189,1,0.958982929
GENEJEFFRESS2012AR4,2012,AR,GENE,JEFFRESS,4,GENE JEFFRESS,D,58220,0,0.041017071
ANNKIRKPATRICK2012AZ1,2012,AZ,ANN,KIRKPATRICK,1,ANN KIRKPATRICK,D,1249636,1,0.577679898
JONATHANPATON2012AZ1,2012,AZ,JONATHAN,PATON,1,JONATHAN PATON,R,913562,0,0.422320102
MARTHAMCSALLY2012AZ2,2012,AZ,MARTHA,MCSALLY,2,MARTHA MCSALLY,R,801543,0,0.346663558
RONBARBER2012AZ2,2012,AZ,RON,BARBER,2,RON BARBER,D,1510621,1,0.653336442
GABRIELAMERCER2012AZ3,2012,AZ,GABRIELA,MERCER,3,GABRIELA SAUCEDO MERCER,R,125507,0,0.198062411
BLANCAGUERRA2012AZ3,2012,AZ,BLANCA,GUERRA,3,BLANCA GUERRA,I,9349,0,0.014753643
RAULGRIJALVA2012AZ3,2012,AZ,RAUL,GRIJALVA,3,RAUL M GRIJALVA,D,498818,1,0.787183946
PAULGOSAR2012AZ4,2012,AZ,PAUL,GOSAR,4,PAUL GOSAR,R,730510,1,1
MATTSALMON2012AZ5,2012,AZ,MATT,SALMON,5,MATT SALMON,R,682008,1,1
DAVIDSCHWEIKERT2012AZ6,2012,AZ,DAVID,SCHWEIKERT,6,DAVID SCHWEIKERT,R,1124850,1,0.996412437
MATTJETTE2012AZ6,2012,AZ,MATT,JETTE,6,MATT JETTE,D,4050,0,0.003587563
EDPASTOR2012AZ7,2012,AZ,ED,PASTOR,7,ED PASTOR,D,649649,1,1
TRENTFRANKS2012AZ8,2012,AZ,TRENT,FRANKS,8,TRENT FRANKS,R,254350,1,0.975081464
GENESCHARER2012AZ8,2012,AZ,GENE,SCHARER,8,GENE SCHARER,D,6500,0,0.024918536
VERNONPARKER2012AZ9,2012,AZ,VERNON,PARKER,9,VERNON PARKER,R,674647,0,0.373314365
KYRSTENSINEMA2012AZ9,2012,AZ,KYRSTEN,SINEMA,9,KYRSTEN SINEMA,D,1132535,1,0.626685635
DOUGLAMALFA2012CA1,2012,CA,DOUG,LAMALFA,1,DOUG LAMALFA,R,473742,1,0.926553164
JAMESREED2012CA1,2012,CA,JAMES,REED,1,JAMES E REED,D,37553,0,0.073446836
JEFFDENHAM2012CA10,2012,CA,JEFF,DENHAM,10,JEFF DENHAM,R,1639077,1,0.657190708
JOSEHERNANDEZ2012CA10,2012,CA,JOSE,HERNANDEZ,10,JOSE M HERNANDEZ,D,854989,0,0.342809292
