KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL|1|Jo|Bonner|2012,AL,1,H2AL01077,True,Jo,Bonner,R,2012,48702,0.5555,nan,nan,196374,0.9786
AL|1|Dean|Young|2012,AL,1,H2AL01176,False,Dean,Young,R,2012,21308,0.243,nan,nan,nan,nan
AL|1|Pete|Riehm|2012,AL,1,H2AL01184,False,Pete,Riehm,R,2012,13809,0.1575,nan,nan,nan,nan
AL|1|Peter|Gounares|2012,AL,1,H0AL01030,False,Peter,Gounares,R,2012,3854,0.044000000000000004,nan,nan,nan,nan
AL|2|Martha|Roby|2012,AL,2,H0AL02087,True,Martha,Roby,R,2012,nan,nan,nan,nan,180591,0.636
AL|2|Therese|Ford|2012,AL,2,H2AL02141,False,Therese,Ford,D,2012,nan,nan,nan,nan,103092,0.36310000000000003
AL|3|Mike|Rogers|2012,AL,3,H2AL03032,True,Mike,Rogers,R,2012,nan,nan,nan,nan,175306,0.64
AL|3|John Andrew|Harris|2012,AL,3,H2AL03099,False,John Andrew,Harris,D,2012,nan,nan,nan,nan,98141,0.3583
AL|4|Robert|Aderholt|2012,AL,4,H6AL04098,True,Robert,Aderholt,R,2012,nan,nan,nan,nan,199071,0.7397
AL|4|Daniel H.|Boman|2012,AL,4,H2AL04055,False,Daniel H.,Boman,D,2012,10971,0.5145000000000001,nan,nan,69706,0.259
AL|4|Rick|Neighbors|2012,AL,4,H2AL04063,False,Rick,Neighbors,D,2012,10353,0.4855,nan,nan,nan,nan
AL|5|Mo|Brooks|2012,AL,5,H0AL05163,True,Mo,Brooks,R,2012,65163,0.7094,nan,nan,189185,0.6495000000000001
AL|5|Parker|Griffith|2012,AL,5,H8AL05109,False,Parker,Griffith,R,2012,26694,0.29059999999999997,nan,nan,nan,nan
AL|5|Charlie L.|Holley|2012,AL,5,H2AL05094,False,Charlie L.,Holley,D,2012,nan,nan,nan,nan,101772,0.3494
AL|6|Spencer|Bachus|2012,AL,6,H2AL06035,True,Spencer,Bachus,R,2012,63360,0.6145,nan,nan,219262,0.7117
AL|6|Scott|Beason|2012,AL,6,H2AL06126,False,Scott,Beason,R,2012,28673,0.2781,nan,nan,nan,nan
AL|6|David|Standridge|2012,AL,6,H2AL06100,False,David,Standridge,R,2012,8120,0.0787,nan,nan,nan,nan
AL|6|Al|Mickle|2012,AL,6,H2AL06134,False,Al,Mickle,R,2012,2930,0.028399999999999998,nan,nan,nan,nan
AL|6|Stan|Pate|2012,AL,6,n/a,False,Stan,Pate,R,2012,33,0.0003,nan,nan,nan,nan
"AL|6|Penny ""Colonel""|Bailey|2012",AL,6,H2AL06142,False,"Penny ""Colonel""",Bailey,D,2012,5061,0.6104999999999999,nan,nan,88267,0.2865
AL|6|William|Barnes|2012,AL,6,H2AL06159,False,William,Barnes,D,2012,3229,0.3895,nan,nan,nan,nan
AL|7|Terri A.|Sewell|2012,AL,7,H0AL07086,True,Terri A.,Sewell,D,2012,nan,nan,nan,nan,232520,0.7585
AL|7|Don|Chamberlain|2012,AL,7,H0AL07177,False,Don,Chamberlain,R,2012,11537,0.6609999999999999,nan,nan,73835,0.2409
AL|7|Phillip|Norris|2012,AL,7,H2AL07165,False,Phillip,Norris,R,2012,5918,0.33899999999999997,nan,nan,nan,nan
